Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,ET10_C,Pmsl_hPa,Sun_Hrs,Rad_MJ/m2,Evaporation_Amount_mm
1/01/2009,300.00,8.20,270.00,17.50,501.00,0.00,21.00,12.50,30.90,25.70,14.40,9.70,20.40,997.00,14.70,31.90,7.50
1/02/2009,10.00,7.20,310.00,19.60,556.00,2.40,19.20,12.20,39.00,30.90,11.10,4.90,19.40,1003.20,5.30,21.40,9.00
1/03/2009,240.00,2.60,220.00,12.40,248.00,12.20,14.50,12.50,78.00,19.30,10.50,9.90,18.10,1005.20,7.30,17.30,7.90
1/04/2009,310.00,0.50,50.00,10.30,296.00,0.00,14.80,11.70,66.90,21.60,6.90,1.80,14.70,1016.30,13.10,29.30,3.30
1/05/2009,50.00,2.60,70.00,9.30,304.00,0.00,17.60,13.90,63.90,22.90,8.80,6.90,16.90,1017.40,14.40,30.90,5.50
1/06/2009,40.00,2.10,290.00,17.50,592.00,0.00,20.40,15.00,53.00,26.50,12.90,10.30,19.10,1008.10,5.80,16.20,5.70
1/07/2009,320.00,12.40,290.00,19.60,489.00,0.00,25.30,16.80,38.10,32.70,15.90,13.40,19.30,1007.30,12.90,27.70,6.40
1/08/2009,70.00,4.10,280.00,11.30,302.00,0.00,26.60,17.60,37.00,35.70,18.40,14.10,21.20,1010.70,9.40,25.30,8.90
1/09/2009,20.00,2.60,340.00,12.90,472.00,0.60,20.40,15.00,53.00,29.00,18.30,15.40,21.30,1003.50,0.80,10.20,7.90
1/10/2009,200.00,7.70,180.00,12.90,372.00,0.00,13.30,12.60,91.90,18.40,12.30,12.70,19.20,1012.70,8.10,23.30,5.70
1/11/2009,70.00,4.60,60.00,14.40,413.00,0.00,14.90,11.40,63.00,19.30,9.10,5.00,18.10,1021.80,14.30,28.30,4.40
1/12/2009,40.00,3.10,157.52,11.30,404.00,0.00,15.40,11.60,60.90,20.10,9.90,6.80,18.50,1018.00,13.20,29.50,5.70
13/01/2009,210.00,2.10,190.00,10.30,225.00,0.00,15.30,13.30,78.10,22.30,8.20,4.24,18.30,1015.30,13.50,22.90,5.90
14/01/2009,40.00,4.60,80.00,12.40,572.00,0.00,18.20,14.90,68.00,22.00,9.20,5.50,18.90,1016.20,12.50,27.70,4.10
15/01/2009,70.00,4.10,50.00,10.30,352.00,0.00,18.00,15.10,72.10,25.30,13.10,11.00,19.30,1009.50,12.20,26.50,5.40
16/01/2009,50.00,3.10,100.00,8.20,294.00,0.00,19.10,16.60,76.20,29.20,12.30,9.30,20.50,1003.70,7.00,22.70,5.90
17/01/2009,20.00,3.60,330.00,15.40,430.00,0.00,25.40,15.50,30.10,27.90,14.50,11.80,21.30,996.40,2.00,8.30,5.30
18/01/2009,230.00,3.10,20.00,10.80,263.00,9.60,17.30,13.70,65.20,21.50,12.40,9.30,19.30,997.20,5.50,17.00,5.00
19/01/2009,240.00,0.50,60.00,12.90,450.00,0.20,13.40,11.10,74.20,20.30,9.20,7.60,16.80,1004.00,10.90,27.00,4.10
20/01/2009,20.00,3.60,200.00,15.40,371.00,0.00,14.70,12.00,71.10,17.70,10.60,9.50,17.10,1013.70,6.70,21.50,5.50
21/01/2009,50.00,2.60,80.00,11.30,414.00,0.00,15.60,11.80,61.00,24.00,7.70,4.40,16.70,1021.30,11.60,27.50,4.20
22/01/2009,70.00,3.10,40.00,8.20,292.00,0.00,17.70,16.40,87.00,28.40,14.50,13.30,19.20,1021.00,9.90,25.40,5.90
23/01/2009,30.00,3.60,60.00,9.30,242.00,0.00,17.60,16.20,85.80,28.40,15.70,14.20,20.90,1017.50,12.10,29.40,5.80
24/01/2009,300.00,0.50,80.00,13.40,487.00,0.00,22.00,14.70,40.90,29.70,9.50,6.30,20.10,1019.40,14.00,29.80,6.50
25/01/2009,50.00,2.60,60.00,9.80,347.00,0.00,20.40,18.00,77.80,29.20,15.70,13.80,21.10,1015.70,11.90,26.60,8.00
26/01/2009,220.00,7.20,220.00,10.30,392.00,0.00,18.20,15.70,76.10,25.30,15.60,14.00,21.30,1017.60,11.50,26.50,6.30
