Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,ET10_C,Pmsl_hPa,Rad_MJ/m2,Evaporation_Amount_mm,Sun_Hrs
1/01/2009,240.00,4.10,260.00,8.80,251.00,3.00,20.30,17.70,75.90,24.20,17.70,15.90,20.60,1010.90,31.20,6.20,12.70
1/02/2009,10.00,3.60,260.00,10.30,350.00,0.60,20.10,19.50,94.00,25.80,18.00,15.00,21.20,1015.30,17.40,6.50,4.60
1/03/2009,360.00,4.60,240.00,15.40,599.00,6.00,23.30,20.10,73.10,26.70,20.20,19.30,21.80,1013.30,14.60,3.90,2.50
1/04/2009,210.00,7.20,220.00,11.30,418.00,0.00,16.90,13.10,62.20,21.00,15.30,11.60,19.20,1020.10,30.90,5.00,12.90
1/05/2009,130.00,3.10,186.77,8.20,259.00,0.00,17.30,14.30,70.10,21.00,13.10,8.50,18.80,1021.40,32.00,6.90,13.40
1/06/2009,110.00,1.00,220.00,9.30,282.00,0.00,18.00,14.60,67.10,22.50,13.00,10.23,18.90,1019.20,31.60,6.10,12.60
1/07/2009,180.00,2.10,220.00,10.80,411.00,0.00,18.50,15.30,69.90,22.20,12.80,8.20,19.00,1019.00,31.10,6.10,13.60
1/08/2009,130.00,3.10,360.00,10.80,308.00,0.00,19.20,17.30,82.30,26.50,14.90,11.50,20.40,1017.30,30.90,6.30,12.00
1/09/2009,60.00,3.10,30.00,10.30,327.00,0.00,22.90,20.10,75.80,26.20,18.20,15.50,21.70,1013.70,20.40,6.50,4.50
1/10/2009,120.00,1.00,50.00,7.20,345.00,11.00,20.60,19.00,85.10,23.30,19.00,17.50,21.80,1009.90,8.90,4.90,0.00
1/11/2009,150.00,8.80,130.00,12.40,312.00,1.60,15.90,15.20,92.00,22.30,15.70,16.10,20.80,1012.80,11.00,2.50,0.60
1/12/2009,190.00,1.50,220.00,9.30,400.00,0.00,18.80,15.30,66.90,24.20,15.00,12.20,20.00,1013.00,28.50,3.00,12.70
13/01/2009,220.00,6.70,186.77,10.30,374.00,0.20,19.30,17.30,81.20,23.00,17.30,15.70,20.80,1010.10,26.00,6.50,7.10
14/01/2009,150.00,3.60,220.00,10.80,342.00,0.00,19.00,16.70,78.20,24.10,16.00,10.23,20.70,1013.30,31.00,5.60,13.20
15/01/2009,150.00,2.10,230.00,10.80,504.00,0.00,17.60,14.80,72.10,23.10,14.00,10.70,20.20,1013.00,30.70,6.60,12.90
16/01/2009,210.00,5.10,230.00,11.30,501.00,0.00,19.10,15.20,63.90,22.50,16.90,15.20,20.90,1012.10,25.00,6.90,8.30
17/01/2009,250.00,2.60,270.00,11.30,456.00,6.20,19.70,16.80,72.90,24.30,17.10,14.70,20.90,1010.10,24.70,6.30,6.50
18/01/2009,260.00,8.20,260.00,18.00,736.00,2.80,15.00,14.00,89.10,22.00,14.90,13.90,20.50,1006.30,24.10,6.10,6.90
19/01/2009,240.00,8.80,260.00,17.00,706.00,0.00,18.50,15.20,69.00,21.40,14.80,13.30,19.40,1009.20,22.40,6.20,7.00
20/01/2009,240.00,2.60,230.00,14.90,554.00,0.20,18.60,15.40,69.90,21.40,15.80,13.10,19.10,1017.30,20.50,6.00,6.10
21/01/2009,150.00,2.10,240.00,9.30,279.00,0.00,18.00,14.70,68.00,21.90,14.30,9.80,19.00,1024.20,26.60,5.30,9.40
22/01/2009,130.00,1.50,210.00,8.20,220.00,0.00,18.50,16.10,77.10,24.20,12.20,8.60,18.80,1028.10,29.80,5.40,13.00
23/01/2009,130.00,1.00,220.00,8.20,239.00,0.00,19.10,16.70,77.10,25.20,13.10,9.40,19.40,1026.60,29.60,5.50,11.10
24/01/2009,160.00,1.50,230.00,8.20,281.00,0.00,18.80,17.00,82.20,25.10,14.50,10.10,20.00,1024.40,29.60,5.60,13.30
25/01/2009,170.00,2.10,230.00,10.80,499.00,0.00,19.50,17.80,83.90,24.60,15.10,10.60,20.50,1022.00,29.20,5.90,13.30
26/01/2009,200.00,4.10,210.00,10.80,488.00,0.00,20.50,17.60,74.00,23.80,17.70,15.70,21.70,1018.60,27.70,6.00,9.90
27/01/2009,250.00,5.10,186.77,13.40,563.00,0.00,21.00,18.90,81.00,24.00,19.40,17.80,22.20,1011.30,14.00,6.40,2.90
28/01/2009,170.00,2.10,230.00,12.90,155.00,0.00,18.10,15.90,78.00,24.10,15.00,10.23,20.60,1015.00,20.30,4.00,4.70
29/01/2009,220.00,1.50,220.00,10.30,498.00,0.00,18.90,16.10,73.30,22.60,15.20,10.50,20.50,1021.20,27.60,4.20,12.10
30/01/2009,220.00,6.70,220.00,12.40,491.00,0.00,18.90,15.00,63.80,22.80,17.10,14.70,21.10,1020.40,14.40,6.20,1.30
31/01/2009,230.00,5.10,230.00,10.30,475.00,0.00,20.50,17.80,75.90,24.00,18.00,16.20,21.10,1019.20,22.70,4.80,6.00
2/01/2009,230.00,4.60,230.00,12.90,627.00,0.00,19.60,18.40,88.90,23.20,18.40,17.30,21.60,1015.10,18.70,5.70,3.70
2/02/2009,180.00,4.10,220.00,12.90,317.00,0.00,20.40,17.30,72.10,23.80,18.10,17.60,21.50,1013.90,27.10,4.70,9.60
2/03/2009,50.00,5.10,20.00,11.30,288.00,0.00,21.70,18.10,69.20,26.90,17.50,14.10,21.80,1018.20,27.10,6.10,11.10
2/04/2009,130.00,1.00,230.00,9.80,309.00,0.00,20.20,18.00,79.80,26.20,16.10,10.90,21.40,1014.80,26.90,6.30,10.10
2/05/2009,160.00,3.10,50.00,12.40,345.00,0.00,19.40,16.60,73.80,26.90,17.50,14.00,22.10,1014.10,16.70,5.80,7.80
2/06/2009,70.00,6.70,40.00,12.90,392.00,0.00,21.80,17.60,64.00,27.40,17.70,14.70,21.80,1016.70,27.30,4.90,11.60
2/07/2009,130.00,1.00,220.00,11.30,432.00,0.00,19.90,17.70,79.80,26.90,15.70,11.40,21.60,1016.70,28.50,6.80,13.20
2/08/2009,180.00,1.50,200.00,11.30,350.00,0.00,21.10,18.20,74.10,26.30,19.00,16.70,23.00,1019.10,24.90,6.40,9.00
2/09/2009,110.00,1.50,30.00,10.30,321.00,7.80,20.10,17.70,77.80,27.50,17.60,15.30,22.90,1016.90,16.90,6.00,4.50
2/10/2009,330.00,4.10,330.00,10.30,306.00,5.40,22.70,21.70,91.30,26.90,20.10,21.70,23.80,1011.00,8.90,4.60,0.60
2/11/2009,330.00,2.10,20.00,10.30,364.00,0.00,22.60,21.70,91.90,26.80,20.20,18.40,23.30,1012.80,13.70,2.50,4.30
2/12/2009,10.00,5.70,310.00,17.00,690.00,9.20,23.00,21.60,88.00,28.40,22.10,21.20,23.70,1008.80,17.50,3.30,5.70
