Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,ET10_C,Pmsl_hPa,Sun_Hrs,Rad_MJ/m2,Evaporation_Amount_mm
1/01/2009,300,8.2,270,17.5,501,0,21,12.5,30.9,25.7,14.4,9.7,20.4,997,14.7,31.9,7.5
2/01/2009,10,7.2,310,19.6,556,2.4,19.2,12.2,39,30.9,11.1,4.9,19.4,1003.2,5.3,21.4,9
3/01/2009,240,2.6,220,12.4,248,12.2,14.5,12.5,78,19.3,10.5,9.9,18.1,1005.2,7.3,17.3,7.9
4/01/2009,310,0.5,50,10.3,296,0,14.8,11.7,66.9,21.6,6.9,1.8,14.7,1016.3,13.1,29.3,3.3
5/01/2009,50,2.6,70,9.3,304,0,17.6,13.9,63.9,22.9,8.8,6.9,16.9,1017.4,14.4,30.9,5.5
6/01/2009,40,2.1,290,17.5,592,0,20.4,15,53,26.5,12.9,10.3,19.1,1008.1,5.8,16.2,5.7
7/01/2009,320,12.4,290,19.6,489,0,25.3,16.8,38.1,32.7,15.9,13.4,19.3,1007.3,12.9,27.7,6.4
8/01/2009,70,4.1,280,11.3,302,0,26.6,17.6,37,35.7,18.4,14.1,21.2,1010.7,9.4,25.3,8.9
9/01/2009,20,2.6,340,12.9,472,0.6,20.4,15,53,29,18.3,15.4,21.3,1003.5,0.8,10.2,7.9
10/01/2009,200,7.7,180,12.9,372,0,13.3,12.6,91.9,18.4,12.3,12.7,19.2,1012.7,8.1,23.3,5.7
11/01/2009,70,4.6,60,14.4,413,0,14.9,11.4,63,19.3,9.1,5,18.1,1021.8,14.3,28.3,4.4
12/01/2009,40,3.1,-,11.3,404,0,15.4,11.6,60.9,20.1,9.9,6.8,18.5,1018,13.2,29.5,5.7
13/01/2009,210,2.1,190,10.3,225,0,15.3,13.3,78.1,22.3,8.2,-,18.3,1015.3,13.5,22.9,5.9
14/01/2009,40,4.6,80,12.4,572,0,18.2,14.9,68,22,9.2,5.5,18.9,1016.2,12.5,27.7,4.1
15/01/2009,70,4.1,50,10.3,352,0,18,15.1,72.1,25.3,13.1,11,19.3,1009.5,12.2,26.5,5.4
16/01/2009,50,3.1,100,8.2,294,0,19.1,16.6,76.2,29.2,12.3,9.3,20.5,1003.7,7,22.7,5.9
17/01/2009,20,3.6,330,15.4,430,0,25.4,15.5,30.1,27.9,14.5,11.8,21.3,996.4,2,8.3,5.3
18/01/2009,230,3.1,20,10.8,263,9.6,17.3,13.7,65.2,21.5,12.4,9.3,19.3,997.2,5.5,17,5
19/01/2009,240,0.5,60,12.9,450,0.2,13.4,11.1,74.2,20.3,9.2,7.6,16.8,1004,10.9,27,4.1
20/01/2009,20,3.6,200,15.4,371,0,14.7,12,71.1,17.7,10.6,9.5,17.1,1013.7,6.7,21.5,5.5
21/01/2009,50,2.6,80,11.3,414,0,15.6,11.8,61,24,7.7,4.4,16.7,1021.3,11.6,27.5,4.2
22/01/2009,70,3.1,40,8.2,292,0,17.7,16.4,87,28.4,14.5,13.3,19.2,1021,9.9,25.4,5.9
23/01/2009,30,3.6,60,9.3,242,0,17.6,16.2,85.8,28.4,15.7,14.2,20.9,1017.5,12.1,29.4,5.8
24/01/2009,300,0.5,80,13.4,487,0,22,14.7,40.9,29.7,9.5,6.3,20.1,1019.4,14,29.8,6.5
25/01/2009,50,2.6,60,9.8,347,0,20.4,18,77.8,29.2,15.7,13.8,21.1,1015.7,11.9,26.6,8
26/01/2009,220,7.2,220,10.3,392,0,18.2,15.7,76.1,25.3,15.6,14,21.3,1017.6,11.5,26.5,6.3
27/01/2009,190,7.2,190,18,469,0.6,14.9,12.8,77,14.9,14.1,12.3,21,1009.5,0.3,8.1,6.2
28/01/2009,220,3.6,60,9.8,351,0,12.9,10.3,70.2,21.3,10.5,10,18,1019.7,7.3,23.5,2.4
29/01/2009,230,4.6,220,8.8,243,0,16.4,13.9,74.2,23.4,13.1,11.7,19.4,1015.6,0.9,12,5.2
30/01/2009,190,1.5,70,10.3,298,0,16.4,15,85.2,24.4,12.2,9.6,19.1,1017.6,1.8,12.2,3.2
31/01/2009,210,1.5,50,12.9,499,0,24.4,18.2,52,29.9,13.3,10.7,19.2,1012,9.7,23.8,3.1
1/02/2009,50,1.5,190,21.6,411,0,21,17.2,66.9,31.2,15.2,14.2,20.8,1002,4.5,17.1,6.7
2/02/2009,190,5.1,40,9.8,366,0,12.7,9.7,66,16.2,12.4,12.2,19.1,1017.3,0,10.1,5.5
3/02/2009,30,2.6,50,7.2,280,2.4,14.4,11.6,70,22.3,7.5,3.8,16.9,1013.7,5,20,3.3
4/02/2009,240,3.1,50,7.7,348,0,14.3,13.5,91.3,18.1,13.6,11.8,18.5,1013.7,0.1,9.9,3.9
5/02/2009,60,5.1,60,13.9,561,0,15.5,13.6,80.2,20.7,13.1,11.7,17.3,1017.4,10.6,22.8,2.3
6/02/2009,90,3.1,280,13.9,361,0,17.7,16.1,84.2,30.4,13.7,11.5,18,1010,9.1,24.2,5.1
7/02/2009,230,6.2,200,15.4,452,0,15.9,12.2,61.9,22.5,13.3,9.5,18.9,1014.1,8.7,21.6,6
8/02/2009,70,7.7,60,9.8,355,0,17.4,15.5,81,28.2,15,14.9,19.9,1011.4,9.4,21.1,5.8
9/02/2009,70,1.5,220,13.9,374,0,27.7,18.4,37,34.2,15.8,13.3,21.4,1004.1,9.7,19.5,5.4
10/02/2009,320,1.5,70,8.8,303,2.8,15.9,11.9,59,17.6,14.3,13,20,1008.7,0,8.1,6.7
11/02/2009,80,2.6,60,11.3,397,4,13.9,12.3,82.1,17.4,11.9,12,18,1014.4,0.6,9,2.7
12/02/2009,220,5.7,200,13.4,393,10.6,14.5,13.9,93.2,14.9,13.9,14.2,17.7,1004.3,0,3.9,2.4
13/02/2009,200,6.7,200,14.9,418,0.2,9.9,9.3,92.2,13.2,9.9,9.9,14.9,1011.9,0,8.5,0.8
14/02/2009,260,2.1,80,8.8,267,0.2,9.8,8.7,85.1,17.3,8.8,8.2,13.6,1026.1,5.9,17.1,2
15/02/2009,30,2.1,60,10.3,439,0,13.1,11.2,78.3,20.3,6.6,2.9,13,1019.1,13.2,25.8,3.2
16/02/2009,180,8.8,170,11.8,287,0.2,12.5,11,81.9,15.7,9.4,7.4,15.6,1015.1,2.5,10.9,4.4
17/02/2009,50,1,70,8.8,266,0,11.3,9.7,80.2,19.2,3.5,0.8,13,1021.1,12.9,25.2,2.1
18/02/2009,350,1,60,8.8,320,0,12.5,11.4,87.1,16.9,9,6.6,15.4,1024,0,8,3.7
19/02/2009,20,2.6,80,11.3,359,8.4,14.7,12.9,80.1,19.6,12.5,11.1,16.1,1019.4,3.3,11.9,1.5
