Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,Pmsl_hPa,Sun_Hrs,Rad_MJ/m2,Evaporation_Amount_mm
1/01/2009,240.00,6.70,270.00,14.40,373.00,0.00,17.50,14.20,67.90,24.70,12.30,8.60,1004.40,11.80,28.30,2.90
2/01/2009,210.00,2.60,50.00,16.50,628.00,0.00,17.60,13.90,63.90,23.60,11.20,6.00,1011.30,8.40,23.40,6.60
3/01/2009,50.00,8.80,240.00,16.00,546.00,0.00,18.70,17.70,89.90,22.30,17.50,18.30,1004.90,8.20,22.70,3.20
4/01/2009,240.00,7.20,240.00,16.50,344.00,0.00,15.80,11.20,54.00,21.50,11.30,8.00,1017.90,12.60,30.00,4.60
5/01/2009,280.00,1.00,20.00,8.80,301.00,0.00,17.20,13.30,62.20,22.30,11.40,6.70,1018.90,14.10,31.40,6.00
6/01/2009,350.00,0.50,20.00,9.30,338.00,0.00,15.70,13.90,80.80,22.40,11.90,8.30,1015.80,7.00,23.20,3.40
7/01/2009,10.00,1.50,210.00,9.80,302.00,0.00,17.90,14.50,67.10,25.20,14.50,8.40,1015.40,8.60,25.30,4.10
8/01/2009,210.00,2.60,20.00,9.30,318.00,0.00,23.00,17.30,54.10,26.10,16.10,11.10,1015.40,13.80,30.70,5.90
9/01/2009,50.00,5.70,50.00,11.30,423.00,0.00,19.90,18.10,82.90,24.70,17.00,15.20,1011.50,5.30,22.30,7.10
10/01/2009,250.00,1.50,350.00,10.30,319.00,0.00,19.00,15.90,70.90,23.70,16.30,13.20,1010.00,0.70,21.30,4.40
11/01/2009,290.00,1.00,320.00,11.30,309.00,0.00,16.60,12.80,62.10,23.60,12.90,7.00,1018.60,14.00,31.20,6.20
12/01/2009,250.00,2.10,360.00,8.20,244.00,0.00,16.20,12.70,64.10,22.60,10.90,5.10,1016.70,11.90,30.10,6.10
13/01/2009,250.00,1.50,360.00,8.80,260.00,0.00,16.40,14.70,81.90,23.00,13.50,9.00,1012.80,7.40,24.90,6.20
14/01/2009,200.00,1.00,360.00,9.80,247.00,0.00,17.90,14.40,66.20,22.00,14.40,9.10,1017.00,9.10,27.60,6.20
15/01/2009,340.00,1.50,10.00,8.20,247.00,0.00,16.90,15.10,82.00,23.20,13.20,8.10,1012.50,12.30,29.20,6.00
16/01/2009,10.00,2.60,10.00,8.80,236.00,0.00,20.10,17.90,79.80,24.10,14.30,9.60,1008.40,11.70,28.00,5.80
17/01/2009,50.00,3.60,10.00,18.00,507.00,8.00,19.60,16.80,73.80,23.70,13.60,8.30,1005.20,4.80,13.60,4.90
18/01/2009,200.00,0.50,330.00,12.90,276.00,0.80,15.20,13.60,82.90,20.40,13.20,11.90,1000.40,5.20,16.90,4.40
19/01/2009,210.00,1.50,230.00,13.40,498.00,0.00,15.10,12.50,72.00,21.50,11.30,6.80,1004.90,8.00,21.00,4.70
20/01/2009,230.00,7.20,220.00,14.40,424.00,0.00,17.10,12.00,51.00,23.80,14.00,11.90,1012.90,13.50,30.00,5.70
21/01/2009,360.00,0.50,20.00,9.80,249.00,0.00,16.50,12.60,61.20,22.30,9.90,3.80,1023.50,12.40,29.60,3.50
22/01/2009,350.00,1.50,10.00,7.70,256.00,0.00,18.70,15.30,68.10,24.00,12.50,7.40,1024.20,11.20,26.40,4.20
23/01/2009,320.00,1.00,10.00,9.80,313.00,0.00,17.30,15.70,84.20,25.00,13.00,7.80,1023.20,13.30,29.70,5.90
24/01/2009,350.00,1.50,20.00,10.30,310.00,0.00,18.40,16.90,84.80,25.10,13.20,7.90,1022.30,13.80,30.20,5.80
25/01/2009,250.00,2.60,10.00,8.20,212.00,0.00,18.40,16.40,80.10,25.30,14.50,9.40,1021.20,12.10,28.90,7.00
26/01/2009,250.00,1.00,10.00,7.70,214.00,0.00,18.60,17.10,84.90,25.60,14.20,9.30,1016.70,11.40,27.80,3.50
27/01/2009,190.00,1.00,10.00,15.40,354.00,3.20,21.20,17.30,66.10,27.70,15.30,11.60,1005.60,7.80,21.40,6.60
28/01/2009,310.00,0.50,30.00,11.30,300.00,0.00,15.90,13.10,70.80,21.20,11.60,9.70,1018.70,10.30,26.90,6.40
29/01/2009,200.00,0.50,210.00,8.20,267.00,0.00,15.80,14.10,81.90,22.60,12.40,9.50,1018.10,4.20,14.40,4.30
30/01/2009,190.00,1.50,220.00,10.30,426.00,0.00,18.90,14.20,57.00,24.30,13.40,9.40,1018.00,7.30,21.70,2.30
