Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,ET10_C,ET20_C,ET100_C,Pmsl_hPa,Sun_Hrs,Rad_MJ/m2,Evaporation_Amount_mm
1/01/2009,320.00,9.30,300.00,19.00,517.00,0.00,19.00,16.20,73.30,21.40,17.30,16.10,18.00,18.90,16.60,1005.80,13.20,30.60,4.70
1/02/2009,50.00,5.70,320.00,15.40,573.00,14.40,18.80,15.60,69.50,23.20,17.00,15.00,18.80,19.70,16.60,1012.00,2.20,13.60,7.00
1/03/2009,10.00,4.60,310.00,16.00,374.00,0.80,17.60,17.10,94.50,19.70,17.00,16.00,18.10,18.80,16.70,1007.80,3.30,10.90,5.10
1/04/2009,360.00,5.70,20.00,12.40,451.00,0.00,16.90,12.40,56.10,19.10,9.40,2.50,14.00,16.50,16.70,1017.90,13.20,27.90,2.30
1/05/2009,40.00,5.70,180.35,12.40,486.00,0.00,16.30,13.90,75.70,19.70,13.70,11.40,16.70,17.60,16.70,1020.60,10.00,27.40,5.60
1/06/2009,360.00,7.20,300.00,12.40,536.00,0.00,17.70,14.90,72.50,20.10,14.80,12.80,17.70,18.50,16.70,1017.60,6.90,23.30,5.70
1/07/2009,360.00,8.20,20.00,13.90,545.00,0.00,17.70,16.00,82.70,19.80,15.90,14.20,18.10,18.80,16.70,1016.80,0.00,6.90,5.40
1/08/2009,30.00,7.20,360.00,12.90,539.00,0.00,19.60,17.30,78.70,21.40,17.30,17.00,18.70,18.50,16.70,1016.70,10.20,28.90,2.30
1/09/2009,30.00,4.60,360.00,9.30,331.00,0.00,17.60,16.80,91.60,20.50,17.00,16.10,19.20,19.70,16.70,1013.40,0.00,7.50,6.00
1/10/2009,10.00,3.10,150.00,19.00,494.00,0.20,18.40,16.90,84.80,19.80,17.60,16.00,18.60,19.00,16.70,1011.20,0.00,7.00,2.00
1/11/2009,160.00,3.60,140.00,18.00,330.00,0.00,15.20,12.10,67.40,18.70,14.80,12.90,16.60,17.90,16.80,1018.30,0.70,12.60,2.20
1/12/2009,200.00,2.10,140.00,9.30,243.00,0.00,18.60,14.90,65.50,22.60,14.20,10.30,16.20,17.50,16.80,1015.70,12.20,26.10,3.60
13/01/2009,180.00,4.10,170.00,13.40,396.00,0.00,17.60,13.50,60.20,23.10,8.10,2.00,15.40,17.70,16.80,1012.20,12.20,27.30,5.40
14/01/2009,130.00,3.60,230.00,8.80,241.00,0.00,17.60,13.20,57.80,20.30,9.80,5.10,15.60,17.90,16.70,1016.90,13.70,30.80,5.50
15/01/2009,30.00,4.10,360.00,9.80,494.00,0.00,17.50,14.50,70.20,20.80,9.40,1.40,15.70,18.30,16.80,1013.00,11.50,28.80,5.50
16/01/2009,40.00,7.70,10.00,15.40,688.00,0.00,17.70,15.10,74.50,21.80,15.80,14.10,18.50,19.30,16.80,1009.40,8.50,25.60,5.20
17/01/2009,360.00,6.70,310.00,15.40,501.00,11.80,18.20,16.70,84.80,22.30,17.50,16.90,19.30,19.70,16.80,1007.40,3.20,15.30,6.60
18/01/2009,350.00,3.60,340.00,16.00,435.00,3.40,14.70,13.90,90.80,19.70,13.90,13.40,16.70,18.60,16.90,1001.30,4.50,15.20,3.90
19/01/2009,90.00,1.50,310.00,13.40,333.00,0.00,16.10,14.20,79.80,20.20,10.40,5.80,15.20,17.10,16.90,1004.60,11.30,27.80,3.40
20/01/2009,180.00,4.10,300.00,10.30,234.00,0.00,17.60,13.20,58.30,21.00,16.00,13.80,17.10,18.20,16.90,1012.40,6.50,19.90,4.80
21/01/2009,20.00,4.10,340.00,8.20,466.00,0.00,16.10,13.30,71.30,21.00,9.70,4.50,15.80,18.00,16.90,1023.90,13.30,30.10,4.60
22/01/2009,20.00,7.20,10.00,12.40,502.00,0.00,17.70,16.00,83.20,20.20,16.10,14.70,18.70,19.40,16.90,1026.20,3.30,14.70,5.60
23/01/2009,40.00,7.20,360.00,10.80,486.00,0.00,18.00,15.90,79.00,20.80,16.00,14.50,18.40,19.10,17.00,1025.10,10.10,23.00,3.60
24/01/2009,30.00,6.70,350.00,10.80,385.00,0.00,19.20,16.10,71.50,21.40,16.10,13.80,18.40,19.30,17.00,1024.40,13.60,29.80,5.00
25/01/2009,40.00,5.10,30.00,10.80,454.00,0.00,19.40,17.00,77.20,21.70,15.20,12.40,18.60,19.80,17.00,1022.20,12.30,28.20,6.10
26/01/2009,40.00,4.10,360.00,11.80,510.00,0.20,19.00,16.10,72.80,22.10,16.40,14.10,19.30,20.00,17.10,1018.20,8.80,26.10,5.60
27/01/2009,340.00,4.60,200.00,19.00,479.00,0.20,19.00,17.00,80.70,20.30,17.40,16.70,19.80,20.70,17.20,1007.30,2.00,11.50,6.00
28/01/2009,190.00,3.10,170.00,11.80,340.00,0.00,15.10,11.20,59.60,20.10,11.50,9.30,15.20,18.30,17.30,1018.70,12.50,26.90,3.10
29/01/2009,40.00,6.20,10.00,11.80,539.00,0.00,16.30,13.80,74.80,20.10,10.40,4.20,17.30,18.80,17.30,1018.80,1.10,9.30,5.60
30/01/2009,40.00,5.70,180.35,10.80,495.00,0.00,18.30,15.10,69.00,21.90,15.00,12.90,17.00,18.30,17.30,1018.30,11.80,26.70,2.50
31/01/2009,30.00,6.70,10.00,15.40,714.00,0.00,20.10,17.90,79.30,22.00,16.40,14.40,19.10,19.50,17.30,1015.40,13.30,27.70,6.10
2/01/2009,30.00,10.30,20.00,16.50,529.00,0.00,17.60,17.00,93.90,21.20,17.30,16.70,19.70,20.40,17.20,1010.50,1.00,11.80,6.00
2/02/2009,280.00,1.00,180.35,12.90,226.00,0.00,16.90,12.70,58.50,23.00,14.30,13.30,17.60,19.10,17.20,1015.20,9.90,24.50,3.00
2/03/2009,20.00,3.10,360.00,8.20,413.00,0.00,16.90,14.60,76.90,21.30,8.00,6.94,15.90,18.90,17.30,1017.50,10.50,23.50,5.40
2/04/2009,360.00,5.10,350.00,9.80,191.00,1.40,17.50,14.60,71.60,20.40,16.50,15.20,18.70,19.70,17.30,1014.30,0.20,8.50,3.90
2/05/2009,320.00,1.00,230.00,9.30,250.00,0.00,18.20,15.80,76.50,22.30,9.90,5.60,15.60,18.00,17.30,1015.60,12.70,28.30,2.40
2/06/2009,10.00,5.10,360.00,9.80,384.00,0.00,20.20,16.90,69.80,22.80,11.00,6.00,17.30,19.10,17.30,1016.60,10.10,22.20,4.70
2/07/2009,10.00,5.10,10.00,12.40,599.00,0.20,18.90,17.30,85.00,22.80,17.30,15.40,19.50,20.10,17.30,1015.80,6.50,22.40,4.00
2/08/2009,30.00,8.20,20.00,13.90,674.00,0.20,18.90,17.90,89.90,22.70,18.00,17.30,20.00,20.60,17.30,1015.70,7.30,20.90,5.20
2/09/2009,20.00,6.20,360.00,12.40,419.00,3.00,18.70,18.30,96.30,22.40,18.10,17.80,20.00,20.60,17.40,1014.10,2.00,12.30,5.00
2/10/2009,30.00,4.60,20.00,8.80,302.00,2.80,19.90,19.70,98.20,21.60,16.10,15.30,19.20,19.80,17.40,1006.70,0.00,7.10,2.80
2/11/2009,50.00,4.10,10.00,8.80,283.00,2.60,17.10,16.30,92.10,22.20,16.60,16.00,18.40,19.50,17.40,1013.00,6.60,19.70,1.00
2/12/2009,20.00,5.70,220.00,12.90,362.00,35.20,20.50,20.20,97.00,20.70,17.10,15.70,19.50,19.80,17.50,1004.30,0.00,2.30,4.00
