Day_Local_Date,WDir_Deg,WSpd_m/s,GustDir_Deg,GustSpd_m/s,WindRun_Km,Rain_mm,Tdry_C,TWet_C,RH_%,Tmax_C,Tmin_C,Tgmin_C,ET10_C,ET20_C,ET100_C,Pmsl_hPa,Sun_Hrs,Rad_MJ/m2,Evaporation_Amount_mm
1/01/2009,320.0,9.3,300.0,19.0,517.0,0.0,19.0,16.2,73.3,21.4,17.3,16.1,18.0,18.9,16.6,1005.8,13.2,30.6,4.7
2/01/2009,50.0,5.7,320.0,15.4,573.0,14.4,18.8,15.6,69.5,23.2,17.0,15.0,18.8,19.7,16.6,1012.0,2.2,13.6,7.0
3/01/2009,10.0,4.6,310.0,16.0,374.0,0.8,17.6,17.1,94.5,19.7,17.0,16.0,18.1,18.8,16.7,1007.8,3.3,10.9,5.1
4/01/2009,360.0,5.7,20.0,12.4,451.0,0.0,16.9,12.4,56.1,19.1,9.4,2.5,14.0,16.5,16.7,1017.9,13.2,27.9,2.3
5/01/2009,40.0,5.7,-,12.4,486.0,0.0,16.3,13.9,75.7,19.7,13.7,11.4,16.7,17.6,16.7,1020.6,10.0,27.4,5.6
6/01/2009,360.0,7.2,300.0,12.4,536.0,0.0,17.7,14.9,72.5,20.1,14.8,12.8,17.7,18.5,16.7,1017.6,6.9,23.3,5.7
7/01/2009,360.0,8.2,20.0,13.9,545.0,0.0,17.7,16.0,82.7,19.8,15.9,14.2,18.1,18.8,16.7,1016.8,0.0,6.9,5.4
8/01/2009,30.0,7.2,360.0,12.9,539.0,0.0,19.6,17.3,78.7,21.4,17.3,17.0,18.7,18.5,16.7,1016.7,10.2,28.9,2.3
9/01/2009,30.0,4.6,360.0,9.3,331.0,0.0,17.6,16.8,91.6,20.5,17.0,16.1,19.2,19.7,16.7,1013.4,0.0,7.5,6.0
10/01/2009,10.0,3.1,150.0,19.0,494.0,0.2,18.4,16.9,84.8,19.8,17.6,16.0,18.6,19.0,16.7,1011.2,0.0,7.0,2.0
11/01/2009,160.0,3.6,140.0,18.0,330.0,0.0,15.2,12.1,67.4,18.7,14.8,12.9,16.6,17.9,16.8,1018.3,0.7,12.6,2.2
12/01/2009,200.0,2.1,140.0,9.3,243.0,0.0,18.6,14.9,65.5,22.6,14.2,10.3,16.2,17.5,16.8,1015.7,12.2,26.1,3.6
13/01/2009,180.0,4.1,170.0,13.4,396.0,0.0,17.6,13.5,60.2,23.1,8.1,2.0,15.4,17.7,16.8,1012.2,12.2,27.3,5.4
14/01/2009,130.0,3.6,230.0,8.8,241.0,0.0,17.6,13.2,57.8,20.3,9.8,5.1,15.6,17.9,16.7,1016.9,13.7,30.8,5.5
15/01/2009,30.0,4.1,360.0,9.8,494.0,0.0,17.5,14.5,70.2,20.8,9.4,1.4,15.7,18.3,16.8,1013.0,11.5,28.8,5.5
16/01/2009,40.0,7.7,10.0,15.4,688.0,0.0,17.7,15.1,74.5,21.8,15.8,14.1,18.5,19.3,16.8,1009.4,8.5,25.6,5.2
17/01/2009,360.0,6.7,310.0,15.4,501.0,11.8,18.2,16.7,84.8,22.3,17.5,16.9,19.3,19.7,16.8,1007.4,3.2,15.3,6.6
