Date_NZST,Time_NZST,Radiation_Amount_MJ/m2
1/01/2011,0:00,0
1/01/2011,1:00,0
1/01/2011,2:00,0
1/01/2011,3:00,0
1/01/2011,4:00,0
1/01/2011,5:00,0
1/01/2011,6:00,0.13
1/01/2011,7:00,0.73
1/01/2011,8:00,1.12
1/01/2011,9:00,1.94
1/01/2011,10:00,2.98
1/01/2011,11:00,3.42
1/01/2011,12:00,3
1/01/2011,13:00,3.83
1/01/2011,14:00,3.45
1/01/2011,15:00,3.1
1/01/2011,16:00,2.95
1/01/2011,17:00,2.02
1/01/2011,18:00,1.19
1/01/2011,19:00,0.81
1/01/2011,20:00,0.03
1/01/2011,21:00,0
1/01/2011,22:00,0
1/01/2011,23:00,0
2/01/2011,0:00,0
2/01/2011,1:00,0
2/01/2011,2:00,0
2/01/2011,3:00,0
2/01/2011,4:00,0
2/01/2011,5:00,0
2/01/2011,6:00,0.15
2/01/2011,7:00,0.74
2/01/2011,8:00,1.48
2/01/2011,9:00,2.25
2/01/2011,10:00,2.96
2/01/2011,11:00,3.45
2/01/2011,12:00,3.69
2/01/2011,13:00,2.01
2/01/2011,14:00,3.24
2/01/2011,15:00,3.41
2/01/2011,16:00,2.87
2/01/2011,17:00,2.18
2/01/2011,18:00,1.43
2/01/2011,19:00,0.69
2/01/2011,20:00,0.09
2/01/2011,21:00,0
2/01/2011,22:00,0
2/01/2011,23:00,0
3/01/2011,0:00,0
3/01/2011,1:00,0
3/01/2011,2:00,0
3/01/2011,3:00,0
3/01/2011,4:00,0
3/01/2011,5:00,0
3/01/2011,6:00,0.15
3/01/2011,7:00,0.77
3/01/2011,8:00,1.48
3/01/2011,9:00,2.25
3/01/2011,10:00,2.91
3/01/2011,11:00,3.43
3/01/2011,12:00,3.74
3/01/2011,13:00,3.77
3/01/2011,14:00,3.65
3/01/2011,15:00,3.37
3/01/2011,16:00,2.85
3/01/2011,17:00,2.16
3/01/2011,18:00,1.44
3/01/2011,19:00,0.64
3/01/2011,20:00,0.1
3/01/2011,21:00,0
3/01/2011,22:00,0
3/01/2011,23:00,0
4/01/2011,0:00,0
4/01/2011,1:00,0
4/01/2011,2:00,0
4/01/2011,3:00,0
4/01/2011,4:00,0
4/01/2011,5:00,0
4/01/2011,6:00,0.09
4/01/2011,7:00,0.58
4/01/2011,8:00,0.84
4/01/2011,9:00,1.18
4/01/2011,10:00,1.1
4/01/2011,11:00,0.64
4/01/2011,12:00,1.09
