Date(NZST),Time(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
1/01/2011,0:00,18.1,16.4,82.7,15.1
1/01/2011,1:00,18,16,80.5,14.6
1/01/2011,2:00,17.7,15.5,78.4,13.9
1/01/2011,3:00,17.8,15.7,79.5,14.2
1/01/2011,4:00,18.2,16.2,80.6,14.8
1/01/2011,5:00,18.1,15.9,78.4,14.3
1/01/2011,6:00,18.2,15.9,77.1,14.1
1/01/2011,7:00,18.7,16.1,75.2,14.2
1/01/2011,8:00,18.7,15.5,70,13.1
1/01/2011,9:00,20.4,17.4,72.4,15.3
1/01/2011,10:00,20.9,17.4,68.9,15
1/01/2011,11:00,20.6,16.6,64.9,13.8
1/01/2011,12:00,21,17.2,66.3,14.5
1/01/2011,13:00,21.3,17,62.8,13.9
1/01/2011,14:00,20.8,17.6,71.7,15.5
1/01/2011,15:00,20.6,16.8,66.4,14.1
1/01/2011,16:00,20.7,16.7,64.3,13.7
1/01/2011,17:00,19,15.2,64.8,12.2
1/01/2011,18:00,19.2,16,70.1,13.6
1/01/2011,19:00,18.6,16.1,75.7,14.2
1/01/2011,20:00,18,15.8,78.3,14.2
1/01/2011,21:00,17.8,16.1,83.5,15
1/01/2011,22:00,18.2,16.6,84.3,15.5
1/01/2011,23:00,18.1,16.8,87.2,15.9
2/01/2011,0:00,18.2,17,88.1,16.2
2/01/2011,1:00,17.6,16.7,91.1,16.1
2/01/2011,2:00,17,16.2,91.5,15.6
2/01/2011,3:00,16.2,15.6,93.4,15.1
2/01/2011,4:00,16.2,15.8,95.6,15.5
2/01/2011,5:00,15.7,15.4,96.9,15.2
2/01/2011,6:00,16.1,15.8,96.9,15.6
2/01/2011,7:00,17.8,17,91.5,16.4
2/01/2011,8:00,19.3,17.4,81.8,16.1
2/01/2011,9:00,20.3,18.1,79.9,16.7
2/01/2011,10:00,22,18.9,72.8,16.9
2/01/2011,11:00,22.4,19.3,73.1,17.4
2/01/2011,12:00,23.3,19.2,66,16.6
2/01/2011,13:00,23.5,19.6,67.7,17.2
2/01/2011,14:00,24.5,19.9,63.6,17.2
2/01/2011,15:00,23.6,19.9,69.5,17.7
2/01/2011,16:00,22.8,19.1,68.7,16.8
2/01/2011,17:00,22.3,18.6,68.4,16.2
2/01/2011,18:00,21.6,18,68.4,15.5
2/01/2011,19:00,20.3,16.9,69.1,14.5
2/01/2011,20:00,19,16.5,76.3,14.7
2/01/2011,21:00,18.6,16.7,81.7,15.4
2/01/2011,22:00,18.5,16.2,78.2,14.6
2/01/2011,23:00,18.3,16.1,78.7,14.5
3/01/2011,0:00,17.7,16,83.1,14.8
3/01/2011,1:00,17.4,16.2,88.1,15.4
3/01/2011,2:00,16.1,15.1,89.6,14.4
3/01/2011,3:00,15.6,14.9,92.5,14.4
3/01/2011,4:00,15.3,14.7,93.6,14.3
3/01/2011,5:00,15.2,14.8,95.7,14.5
3/01/2011,6:00,15.9,15.5,95.6,15.2
3/01/2011,7:00,18.5,16.6,81.6,15.3
3/01/2011,8:00,20.7,17.7,73.2,15.7
3/01/2011,9:00,21.3,18.6,76.4,17
3/01/2011,10:00,21.6,19,77.1,17.4
3/01/2011,11:00,23.1,19.6,70.9,17.5
