Station,Date_NZST,Time_NZST,WDir_DegT,WSpeed_m/s,Date_NZST,Time_NZST,GustDir_DegT,GustSpeed_m/s
1962,1/01/2011,0:00,220,8,1/01/2011,0:00,209,11.3
1962,1/01/2011,1:00,220,8.6,1/01/2011,1:00,220,12.4
1962,1/01/2011,2:00,217,8.6,1/01/2011,2:00,216,12.4
1962,1/01/2011,3:00,214,8,1/01/2011,3:00,219,11.3
1962,1/01/2011,4:00,223,8.3,1/01/2011,4:00,229,12.4
1962,1/01/2011,5:00,223,8.2,1/01/2011,5:00,230,12.4
1962,1/01/2011,6:00,220,8.2,1/01/2011,6:00,211,11.8
1962,1/01/2011,7:00,220,8.4,1/01/2011,7:00,217,11.3
1962,1/01/2011,8:00,206,7.8,1/01/2011,8:00,213,11.8
1962,1/01/2011,9:00,211,7.3,1/01/2011,9:00,212,10.3
1962,1/01/2011,10:00,217,7.9,1/01/2011,10:00,219,11.3
1962,1/01/2011,11:00,220,8,1/01/2011,11:00,225,11.3
1962,1/01/2011,12:00,220,7.7,1/01/2011,12:00,222,10.3
1962,1/01/2011,13:00,220,7.9,1/01/2011,13:00,230,10.8
1962,1/01/2011,14:00,220,8.2,1/01/2011,14:00,218,11.3
1962,1/01/2011,15:00,220,8.5,1/01/2011,15:00,224,12.4
1962,1/01/2011,16:00,231,8.1,1/01/2011,16:00,235,11.3
1962,1/01/2011,17:00,226,8.2,1/01/2011,17:00,221,11.8
1962,1/01/2011,18:00,234,8.8,1/01/2011,18:00,229,11.8
1962,1/01/2011,19:00,234,7.9,1/01/2011,19:00,233,11.8
1962,1/01/2011,20:00,220,7.7,1/01/2011,20:00,233,10.8
1962,1/01/2011,21:00,220,6.7,1/01/2011,21:00,227,9.3
1962,1/01/2011,22:00,206,6.2,1/01/2011,22:00,219,9.3
1962,1/01/2011,23:00,211,5.1,1/01/2011,23:00,210,7.2
1962,2/01/2011,0:00,197,4.7,2/01/2011,0:00,211,7.2
1962,2/01/2011,1:00,206,4.1,2/01/2011,1:00,203,6.2
