Date_NZST,Time_NZST,Radiation_Amount_MJ/m2
1/01/2011,0:00,0
1/01/2011,1:00,0
1/01/2011,2:00,0
1/01/2011,3:00,0
1/01/2011,4:00,0
1/01/2011,5:00,0
1/01/2011,6:00,0.02
1/01/2011,7:00,0.23
1/01/2011,8:00,0.5
1/01/2011,9:00,1.02
1/01/2011,10:00,1.32
1/01/2011,11:00,2.63
1/01/2011,12:00,3.52
1/01/2011,13:00,3.9
1/01/2011,14:00,3.84
1/01/2011,15:00,3.54
1/01/2011,16:00,3.17
1/01/2011,17:00,2.41
1/01/2011,18:00,1.53
1/01/2011,19:00,0.87
1/01/2011,20:00,0.2
1/01/2011,21:00,0
1/01/2011,22:00,0
1/01/2011,23:00,0
2/01/2011,0:00,0
2/01/2011,1:00,0
2/01/2011,2:00,0
2/01/2011,3:00,0
2/01/2011,4:00,0
2/01/2011,5:00,0
2/01/2011,6:00,0.02
2/01/2011,7:00,0.15
2/01/2011,8:00,0.26
2/01/2011,9:00,1.27
2/01/2011,10:00,1.71
2/01/2011,11:00,2.6
2/01/2011,12:00,3.24
2/01/2011,13:00,2.9
2/01/2011,14:00,2.5
2/01/2011,15:00,0.98
2/01/2011,16:00,0.31
2/01/2011,17:00,1.8
2/01/2011,18:00,1.26
2/01/2011,19:00,0.46
2/01/2011,20:00,0.11
2/01/2011,21:00,0
2/01/2011,22:00,0
2/01/2011,23:00,0
3/01/2011,0:00,0
3/01/2011,1:00,0
3/01/2011,2:00,0
3/01/2011,3:00,0
3/01/2011,4:00,0
3/01/2011,5:00,0
3/01/2011,6:00,0.17
3/01/2011,7:00,0.79
3/01/2011,8:00,1.51
3/01/2011,9:00,2.21
3/01/2011,10:00,2.9
3/01/2011,11:00,3.31
3/01/2011,12:00,2.93
3/01/2011,13:00,3.6
3/01/2011,14:00,3.84
3/01/2011,15:00,3.68
3/01/2011,16:00,2.27
3/01/2011,17:00,2.42
3/01/2011,18:00,1.79
3/01/2011,19:00,1.05
3/01/2011,20:00,0.51
3/01/2011,21:00,0
3/01/2011,22:00,0
3/01/2011,23:00,0
4/01/2011,0:00,0
4/01/2011,1:00,0
4/01/2011,2:00,0
4/01/2011,3:00,0
4/01/2011,4:00,0
4/01/2011,5:00,0
4/01/2011,6:00,0.03
4/01/2011,7:00,0.21
4/01/2011,8:00,0.52
4/01/2011,9:00,0.68
4/01/2011,10:00,1.84
4/01/2011,11:00,1.95
4/01/2011,12:00,1.94
