Date_NZST,Time_NZST,Tair_C,Twet_C,RH_%,Tdew_C
1/01/2011,0:00,14,11.6,72.9,9.2
1/01/2011,1:00,12.9,11.3,81.6,9.8
1/01/2011,2:00,12.5,11.2,84.2,9.9
1/01/2011,3:00,12,11.1,89,10.3
1/01/2011,4:00,11.7,11.2,94.3,10.8
1/01/2011,5:00,11.8,11.4,95.4,11.1
1/01/2011,6:00,12.3,11.7,92.9,11.2
1/01/2011,7:00,12.4,11.4,87.6,10.4
1/01/2011,8:00,13.1,12.2,89.4,11.4
1/01/2011,9:00,14.4,13.5,89.3,12.7
1/01/2011,10:00,15.4,12.3,67.8,9.5
1/01/2011,11:00,17.8,13.4,58.3,9.5
1/01/2011,12:00,18.8,13.9,55.2,9.6
1/01/2011,13:00,19.8,14.4,52,9.7
1/01/2011,14:00,19.5,14.4,54.4,10.1
1/01/2011,15:00,19.1,14.1,54.8,9.8
1/01/2011,16:00,18.4,13.5,54.6,9.1
1/01/2011,17:00,17.5,13.2,58.6,9.3
1/01/2011,18:00,16.6,13.3,67.2,10.5
1/01/2011,19:00,15.8,13.3,74,11.2
1/01/2011,20:00,15.2,13.4,80.2,11.8
1/01/2011,21:00,15,13.5,83.8,12.3
1/01/2011,22:00,15.5,13.9,82.9,12.6
1/01/2011,23:00,15.3,14.2,87.8,13.3
2/01/2011,0:00,15,14.1,89.6,13.3
2/01/2011,1:00,15,14,88.5,13.1
2/01/2011,2:00,15.6,14.3,85.8,13.2
2/01/2011,3:00,15.7,14.5,86.7,13.5
2/01/2011,4:00,17.2,14.6,73.9,12.5
2/01/2011,5:00,22.4,15.1,41.9,8.9
2/01/2011,6:00,22.5,14.9,40,8.2
2/01/2011,7:00,21.8,14.8,43.2,8.8
2/01/2011,8:00,22.3,15.2,42.9,9.1
2/01/2011,9:00,24.7,16.2,37.1,9.1
2/01/2011,10:00,25.7,16.6,35.2,9.2
2/01/2011,11:00,27.4,17.7,34.2,10.3
2/01/2011,12:00,29.8,19,31.9,11.3
