Date_NZST,Time_NZST,WDir_DegT,WSpeed_m/s
1/01/2011,0:00,307,1.7
1/01/2011,1:00,237,2.3
1/01/2011,2:00,71,1.2
1/01/2011,3:00,256,1.8
1/01/2011,4:00,205,1.6
1/01/2011,5:00,169,1.1
1/01/2011,6:00,110,0.8
1/01/2011,7:00,51,2.6
1/01/2011,8:00,31,2.9
1/01/2011,9:00,40,4.7
1/01/2011,10:00,17,5.6
1/01/2011,11:00,54,6.4
1/01/2011,12:00,59,7
1/01/2011,13:00,74,7.4
1/01/2011,14:00,62,8.4
1/01/2011,15:00,68,9.5
1/01/2011,16:00,65,10.5
1/01/2011,17:00,62,11.2
1/01/2011,18:00,62,11.4
1/01/2011,19:00,65,10.9
1/01/2011,20:00,71,9.5
1/01/2011,21:00,68,7.9
1/01/2011,22:00,57,6.8
1/01/2011,23:00,56,7
2/01/2011,0:00,62,5.8
2/01/2011,1:00,79,4.5
2/01/2011,2:00,79,4.2
2/01/2011,3:00,57,3.5
2/01/2011,4:00,17,3.5
2/01/2011,5:00,315,5.4
2/01/2011,6:00,318,8.8
2/01/2011,7:00,310,9
2/01/2011,8:00,315,8.3
2/01/2011,9:00,315,11.7
2/01/2011,10:00,313,11.2
2/01/2011,11:00,324,11.8
2/01/2011,12:00,313,9.9
2/01/2011,13:00,335,9.2
2/01/2011,14:00,315,8.7
2/01/2011,15:00,301,9.4
2/01/2011,16:00,273,8.5
2/01/2011,17:00,270,7.4
2/01/2011,18:00,197,4.8
2/01/2011,19:00,65,1.8
2/01/2011,20:00,332,2.5
2/01/2011,21:00,15,3.6
2/01/2011,22:00,360,3.2
2/01/2011,23:00,346,5.6
3/01/2011,0:00,352,5.3
3/01/2011,1:00,355,4.9
3/01/2011,2:00,341,5
3/01/2011,3:00,335,5
3/01/2011,4:00,29,3.4
3/01/2011,5:00,57,2.8
3/01/2011,6:00,45,3.3
3/01/2011,7:00,40,5.4
3/01/2011,8:00,354,5.1
3/01/2011,9:00,6,4.9
3/01/2011,10:00,287,5.8
3/01/2011,11:00,251,5
3/01/2011,12:00,164,4.4
3/01/2011,13:00,332,4.4
3/01/2011,14:00,304,5.8
3/01/2011,15:00,307,5.6
3/01/2011,16:00,326,5.8
3/01/2011,17:00,343,6.7
3/01/2011,18:00,324,7.2
3/01/2011,19:00,321,5.8
3/01/2011,20:00,181,4.8
3/01/2011,21:00,197,6.6
3/01/2011,22:00,208,5.8
3/01/2011,23:00,209,5.7
4/01/2011,0:00,226,6.4
4/01/2011,1:00,223,6.8
4/01/2011,2:00,220,6.2
4/01/2011,3:00,226,5.9
4/01/2011,4:00,228,5.6
4/01/2011,5:00,226,5.4
4/01/2011,6:00,217,4.9
4/01/2011,7:00,226,4.3
4/01/2011,8:00,220,4
4/01/2011,9:00,217,4.6
4/01/2011,10:00,203,5
4/01/2011,11:00,191,4.4
4/01/2011,12:00,191,3.5
4/01/2011,13:00,76,2.1
4/01/2011,14:00,65,5.1
4/01/2011,15:00,76,6.2
4/01/2011,16:00,79,7.5
4/01/2011,17:00,74,7.4
4/01/2011,18:00,68,5.6
4/01/2011,19:00,76,5.7
4/01/2011,20:00,74,5.2
4/01/2011,21:00,82,5
4/01/2011,22:00,79,5
4/01/2011,23:00,79,4.6
5/01/2011,0:00,82,4.7
5/01/2011,1:00,82,4.3
5/01/2011,2:00,76,4.1
5/01/2011,3:00,82,4.6
5/01/2011,4:00,79,4.6
5/01/2011,5:00,85,4.2
5/01/2011,6:00,85,3.3
5/01/2011,7:00,96,3.6
5/01/2011,8:00,48,3.5
5/01/2011,9:00,74,3.9
5/01/2011,10:00,91,4.1
5/01/2011,11:00,71,4.1
5/01/2011,12:00,79,3.7
5/01/2011,13:00,96,3.8
5/01/2011,14:00,65,4.5
5/01/2011,15:00,59,4.8
5/01/2011,16:00,79,4.1
5/01/2011,17:00,51,4.3
5/01/2011,18:00,91,4.4
5/01/2011,19:00,59,4.8
5/01/2011,20:00,37,3.9
5/01/2011,21:00,65,3.3
5/01/2011,22:00,51,2.4
5/01/2011,23:00,54,2.7
6/01/2011,0:00,45,2.4
6/01/2011,1:00,37,2.3
6/01/2011,2:00,352,1.9
6/01/2011,3:00,70,2.1
6/01/2011,4:00,349,2.2
6/01/2011,5:00,59,2.1
6/01/2011,6:00,73,2.6
6/01/2011,7:00,54,4.1
6/01/2011,8:00,59,5.6
6/01/2011,9:00,73,6
6/01/2011,10:00,68,5.7
6/01/2011,11:00,76,7.7
6/01/2011,12:00,68,8.3
6/01/2011,13:00,90,9.5
6/01/2011,14:00,76,7.9
6/01/2011,15:00,65,7.3
6/01/2011,16:00,116,7.3
6/01/2011,17:00,329,5.2
6/01/2011,18:00,194,5.1
6/01/2011,19:00,211,5
6/01/2011,20:00,178,3.2
6/01/2011,21:00,203,3.8
6/01/2011,22:00,214,4.3
6/01/2011,23:00,214,4.4
7/01/2011,0:00,214,7.8
7/01/2011,1:00,223,6.7
7/01/2011,2:00,248,4.9
7/01/2011,3:00,248,2.8
7/01/2011,4:00,220,3.1
7/01/2011,5:00,256,2.9
7/01/2011,6:00,253,2.5
7/01/2011,7:00,181,3.4
7/01/2011,8:00,82,3.6
7/01/2011,9:00,82,5
7/01/2011,10:00,88,7.1
7/01/2011,11:00,93,5.6
7/01/2011,12:00,79,5.7
7/01/2011,13:00,70,5.3
7/01/2011,14:00,43,5.6
7/01/2011,15:00,82,5.2
7/01/2011,16:00,146,4.8
7/01/2011,17:00,62,6.4
7/01/2011,18:00,57,6.3
7/01/2011,19:00,57,6.4
7/01/2011,20:00,48,4.9
7/01/2011,21:00,31,3.6
7/01/2011,22:00,355,1.6
7/01/2011,23:00,329,1.4
8/01/2011,0:00,343,2.1
8/01/2011,1:00,141,2
8/01/2011,2:00,296,2.1
8/01/2011,3:00,251,1.8
8/01/2011,4:00,231,3.2
8/01/2011,5:00,259,2.6
8/01/2011,6:00,271,2.8
8/01/2011,7:00,228,3.1
8/01/2011,8:00,223,4.4
8/01/2011,9:00,191,6.9
8/01/2011,10:00,189,7.8
8/01/2011,11:00,194,6.8
8/01/2011,12:00,172,7
8/01/2011,13:00,175,8.8
8/01/2011,14:00,186,9.2
8/01/2011,15:00,189,9.1
8/01/2011,16:00,192,8.1
8/01/2011,17:00,200,7.9
8/01/2011,18:00,197,7.3
8/01/2011,19:00,194,7.1
8/01/2011,20:00,200,4.9
8/01/2011,21:00,208,3.4
8/01/2011,22:00,239,2.4
8/01/2011,23:00,239,2.3
9/01/2011,0:00,281,2.6
9/01/2011,1:00,256,2.4
9/01/2011,2:00,279,2.1
9/01/2011,3:00,223,1.9
9/01/2011,4:00,268,2.1
9/01/2011,5:00,273,1.5
9/01/2011,6:00,271,1.7
9/01/2011,7:00,231,2.1
9/01/2011,8:00,355,1.7
9/01/2011,9:00,99,2
9/01/2011,10:00,180,1.3
9/01/2011,11:00,34,2.4
9/01/2011,12:00,68,3.7
9/01/2011,13:00,70,4.7
9/01/2011,14:00,85,6
9/01/2011,15:00,68,6.9
9/01/2011,16:00,68,7.8
9/01/2011,17:00,68,8.1
9/01/2011,18:00,59,8.3
9/01/2011,19:00,65,9
9/01/2011,20:00,62,9.1
9/01/2011,21:00,62,7.4
9/01/2011,22:00,68,6.4
9/01/2011,23:00,68,5.8
10/01/2011,0:00,62,6.4
10/01/2011,1:00,68,5.9
10/01/2011,2:00,65,5.9
10/01/2011,3:00,68,5.6
10/01/2011,4:00,68,5.1
10/01/2011,5:00,68,4.7
10/01/2011,6:00,48,4.4
10/01/2011,7:00,26,2.5
10/01/2011,8:00,20,3.5
10/01/2011,9:00,57,4
10/01/2011,10:00,59,3.1
10/01/2011,11:00,310,2.5
10/01/2011,12:00,172,3.3
10/01/2011,13:00,172,4.9
10/01/2011,14:00,189,6.2
10/01/2011,15:00,208,6.7
10/01/2011,16:00,220,7.2
10/01/2011,17:00,197,7.3
10/01/2011,18:00,194,7.3
10/01/2011,19:00,194,6.8
10/01/2011,20:00,200,5.6
10/01/2011,21:00,194,4.8
10/01/2011,22:00,203,3.4
10/01/2011,23:00,228,2.6
11/01/2011,0:00,228,2.8
11/01/2011,1:00,223,3.1
11/01/2011,2:00,194,3
11/01/2011,3:00,186,3.7
11/01/2011,4:00,200,3.4
11/01/2011,5:00,208,3
11/01/2011,6:00,214,1.9
11/01/2011,7:00,197,2.3
11/01/2011,8:00,186,1.5
11/01/2011,9:00,326,1
11/01/2011,10:00,17,3.3
11/01/2011,11:00,71,4.1
11/01/2011,12:00,76,4.8
