Date_NZST,Time_NZST,Tmax_C,Tmin_C,Tgmin_C
1/01/2011,0:00,14.7,14,13.7
1/01/2011,1:00,13.9,12.9,12.8
1/01/2011,2:00,12.8,12.5,12.4
1/01/2011,3:00,12.5,12,11.4
1/01/2011,4:00,12,11.7,11.4
1/01/2011,5:00,11.8,11.7,11.5
1/01/2011,6:00,12.3,11.8,11.8
1/01/2011,7:00,12.8,12.3,12.1
1/01/2011,8:00,13.2,12.4,13
1/01/2011,9:00,14.4,12.2,13
1/01/2011,10:00,15.6,14.1,16.9
1/01/2011,11:00,18.7,16,22
1/01/2011,12:00,19,17.3,24.4
1/01/2011,13:00,20.2,18.1,28.8
1/01/2011,14:00,20,18.3,29.4
1/01/2011,15:00,19.8,18.2,25.2
1/01/2011,16:00,19.9,18.1,26.2
1/01/2011,17:00,18.9,17.5,23.4
1/01/2011,18:00,18,16.4,19.2
1/01/2011,19:00,17.1,15.7,16.5
1/01/2011,20:00,15.9,15.2,15.3
1/01/2011,21:00,15.3,14.9,14
1/01/2011,22:00,15.5,15,14.5
1/01/2011,23:00,15.6,15.2,14.4
2/01/2011,0:00,15.3,15,13.7
2/01/2011,1:00,15.1,14.9,13.1
2/01/2011,2:00,15.6,14.9,13.1
2/01/2011,3:00,15.8,15.5,14.1
2/01/2011,4:00,17.5,15.5,14.4
2/01/2011,5:00,22.4,17.3,14.6
2/01/2011,6:00,22.6,22,20.6
2/01/2011,7:00,22.5,21.6,21
2/01/2011,8:00,22.3,21.7,21.2
2/01/2011,9:00,25.6,22.4,22.5
2/01/2011,10:00,27.1,24.2,26.3
2/01/2011,11:00,28.6,25.9,27.9
2/01/2011,12:00,29.9,26.7,29.6
2/01/2011,13:00,31,28.9,32.9
2/01/2011,14:00,31.1,28.5,32.3
2/01/2011,15:00,29.8,27.7,28.6
2/01/2011,16:00,27.7,26.8,25.7
2/01/2011,17:00,30.2,27.2,27.5
2/01/2011,18:00,29,25.8,29.8
2/01/2011,19:00,25.8,24.8,25.5
2/01/2011,20:00,25,24.3,22.9
2/01/2011,21:00,24.6,22.9,20.9
2/01/2011,22:00,23.6,22.6,20.2
2/01/2011,23:00,23,22.3,20.4
3/01/2011,0:00,23,22.7,20.6
3/01/2011,1:00,22.9,22.2,19.7
3/01/2011,2:00,22.5,21.8,19.4
3/01/2011,3:00,22.2,20.9,18.7
3/01/2011,4:00,21.2,17.3,14.6
3/01/2011,5:00,18.4,16.2,11.9
3/01/2011,6:00,21.2,17.7,12.2
3/01/2011,7:00,23.9,20.9,21.3
3/01/2011,8:00,25.6,23.9,28.4
3/01/2011,9:00,27.1,25.3,32.1
3/01/2011,10:00,28.8,26.7,32.3
3/01/2011,11:00,28.9,27,32
3/01/2011,12:00,30.3,25.8,34.9
3/01/2011,13:00,30.8,25.7,33.1
3/01/2011,14:00,31.7,29.9,40.4
3/01/2011,15:00,31.9,30.3,40
3/01/2011,16:00,31.7,29.8,32.6
3/01/2011,17:00,31.4,29.6,32.5
3/01/2011,18:00,30.9,29.5,33.4
3/01/2011,19:00,29.5,28.6,31.2
3/01/2011,20:00,28.7,20.9,22.3
3/01/2011,21:00,20.7,17.3,17.3
3/01/2011,22:00,17.3,16.2,16
3/01/2011,23:00,16.2,15.9,16
4/01/2011,0:00,16.1,15.9,16.4
4/01/2011,1:00,16,15.9,15.9
4/01/2011,2:00,15.9,15.5,15.4
4/01/2011,3:00,15.6,15.4,15.2
4/01/2011,4:00,15.5,15.2,15.1
4/01/2011,5:00,15.5,15,14.7
4/01/2011,6:00,15.5,15,14.9
4/01/2011,7:00,16,15.5,16.2
4/01/2011,8:00,16.6,16,18.6
4/01/2011,9:00,17.7,16.3,18.7
4/01/2011,10:00,18.6,17.5,25.1
4/01/2011,11:00,19.2,18.1,26.5
4/01/2011,12:00,19.5,18.6,28.9
4/01/2011,13:00,20.2,18.7,30.2
4/01/2011,15:00,20,18.8,22.6
4/01/2011,16:00,18.9,17.3,20.1
4/01/2011,17:00,17.4,16.6,17.6
4/01/2011,18:00,16.8,15.4,14.7
4/01/2011,19:00,15.5,15.3,14.3
4/01/2011,20:00,15.4,15.1,14.4
4/01/2011,21:00,15.3,14.9,14.7
4/01/2011,22:00,15.4,15.2,15
4/01/2011,23:00,15.5,15.3,15.2
5/01/2011,0:00,15.5,15.4,15.3
5/01/2011,1:00,15.5,15.4,15.3
5/01/2011,2:00,15.5,15.4,15.3
5/01/2011,3:00,15.5,15.4,15.3
5/01/2011,4:00,15.4,15.1,15.2
5/01/2011,5:00,15.2,14.8,14.5
5/01/2011,6:00,14.8,14.6,14.4
5/01/2011,7:00,14.9,14.7,14.7
5/01/2011,8:00,15.5,14.9,15.3
5/01/2011,9:00,15.8,15.3,15.7
5/01/2011,10:00,16.5,15.5,16.4
5/01/2011,11:00,16.8,16.1,16.6
5/01/2011,12:00,17.1,16.5,17.2
5/01/2011,13:00,17.4,16.9,18.3
5/01/2011,14:00,17.5,16.9,18.2
5/01/2011,15:00,17.9,17.2,19.4
5/01/2011,16:00,17.7,17.1,18.7
5/01/2011,17:00,17.4,16.6,16.6
5/01/2011,18:00,17,16.5,16.5
5/01/2011,19:00,16.7,16.4,16.5
