Date_NZST,Time_NZST,Radiation_AmountMJ/m2
1/01/2011,0:00,0
1/01/2011,1:00,0
1/01/2011,2:00,0
1/01/2011,3:00,0
1/01/2011,4:00,0
1/01/2011,5:00,0
1/01/2011,6:00,0.2
1/01/2011,7:00,1.03
1/01/2011,8:00,1.02
1/01/2011,9:00,2.47
1/01/2011,10:00,3.02
1/01/2011,11:00,3.38
1/01/2011,12:00,2.04
1/01/2011,13:00,1.79
1/01/2011,14:00,1.78
1/01/2011,15:00,1.98
1/01/2011,16:00,1.87
1/01/2011,17:00,0.75
1/01/2011,18:00,0.37
1/01/2011,19:00,0.11
1/01/2011,20:00,0
1/01/2011,21:00,0
1/01/2011,22:00,0
1/01/2011,23:00,0
2/01/2011,0:00,0
2/01/2011,1:00,0
2/01/2011,2:00,0
2/01/2011,3:00,0
2/01/2011,4:00,0
2/01/2011,5:00,0
2/01/2011,6:00,0.28
2/01/2011,7:00,1.04
2/01/2011,8:00,1.66
2/01/2011,9:00,2.42
2/01/2011,10:00,3.05
2/01/2011,11:00,3.51
2/01/2011,12:00,3.76
2/01/2011,13:00,3.82
2/01/2011,14:00,3.65
2/01/2011,15:00,3.28
2/01/2011,16:00,2.71
2/01/2011,17:00,2.03
2/01/2011,18:00,1.28
2/01/2011,19:00,0.56
2/01/2011,20:00,0.06
2/01/2011,21:00,0
2/01/2011,22:00,0
2/01/2011,23:00,0
3/01/2011,0:00,0
3/01/2011,1:00,0
3/01/2011,2:00,0
3/01/2011,3:00,0
3/01/2011,4:00,0
3/01/2011,5:00,0
3/01/2011,6:00,0.25
3/01/2011,7:00,0.93
3/01/2011,8:00,1.66
3/01/2011,9:00,2.38
3/01/2011,10:00,3.01
3/01/2011,11:00,3.47
3/01/2011,12:00,3.75
3/01/2011,13:00,3.81
3/01/2011,14:00,3.65
3/01/2011,15:00,3.28
3/01/2011,16:00,2.75
3/01/2011,17:00,2.07
3/01/2011,18:00,1.3
3/01/2011,19:00,0.54
3/01/2011,20:00,0.06
3/01/2011,21:00,0
3/01/2011,22:00,0
3/01/2011,23:00,0
4/01/2011,0:00,0
4/01/2011,1:00,0
4/01/2011,2:00,0
4/01/2011,3:00,0
4/01/2011,4:00,0
4/01/2011,5:00,0
4/01/2011,6:00,0.29
4/01/2011,7:00,1
4/01/2011,8:00,1.49
4/01/2011,9:00,2.34
4/01/2011,10:00,3.04
4/01/2011,11:00,3.55
4/01/2011,12:00,3.47
4/01/2011,13:00,3.86
