Date_NZST,Time_NZST,GustDir_DegT,GustSpeed_m/s
1/01/2011,0:00,353,1.5
1/01/2011,1:00,331,2.1
1/01/2011,2:00,338,3.1
1/01/2011,3:00,332,2.6
1/01/2011,4:00,336,2.6
1/01/2011,5:00,51,2.1
1/01/2011,6:00,39,1.5
1/01/2011,7:00,243,2.6
1/01/2011,8:00,250,2.1
1/01/2011,9:00,124,5.7
1/01/2011,10:00,155,7.2
1/01/2011,11:00,172,7.7
1/01/2011,12:00,151,8.2
1/01/2011,13:00,168,10.8
1/01/2011,14:00,172,10.3
1/01/2011,15:00,156,8.8
1/01/2011,16:00,157,8.2
1/01/2011,17:00,150,8.8
1/01/2011,18:00,171,5.1
1/01/2011,19:00,136,6.2
1/01/2011,20:00,146,5.7
1/01/2011,21:00,139,4.6
1/01/2011,22:00,125,4.6
1/01/2011,23:00,140,3.6
2/01/2011,0:00,99,1.5
2/01/2011,1:00,336,2.1
2/01/2011,2:00,332,2.1
2/01/2011,3:00,334,1.5
2/01/2011,4:00,341,2.1
2/01/2011,5:00,337,2.6
2/01/2011,6:00,338,3.1
2/01/2011,7:00,352,4.1
2/01/2011,8:00,330,4.1
2/01/2011,9:00,323,3.6
2/01/2011,10:00,341,5.1
2/01/2011,11:00,336,6.2
2/01/2011,12:00,315,7.2
2/01/2011,13:00,322,7.2
2/01/2011,14:00,330,7.2
2/01/2011,15:00,337,6.2
2/01/2011,16:00,268,9.3
2/01/2011,17:00,324,7.7
2/01/2011,18:00,318,7.2
2/01/2011,19:00,350,6.7
2/01/2011,20:00,333,6.2
2/01/2011,21:00,333,7.7
2/01/2011,22:00,329,7.2
2/01/2011,23:00,347,7.2
3/01/2011,0:00,345,6.2
3/01/2011,1:00,344,5.7
3/01/2011,2:00,339,5.7
3/01/2011,3:00,343,5.1
3/01/2011,4:00,336,4.6
3/01/2011,5:00,335,3.6
3/01/2011,6:00,335,4.1
3/01/2011,7:00,334,6.2
3/01/2011,8:00,331,5.7
3/01/2011,9:00,315,5.1
3/01/2011,10:00,154,4.1
3/01/2011,11:00,137,5.1
3/01/2011,12:00,133,5.1
3/01/2011,13:00,149,5.7
3/01/2011,14:00,106,6.2
3/01/2011,15:00,161,6.2
3/01/2011,16:00,155,5.7
3/01/2011,17:00,219,5.1
3/01/2011,18:00,208,6.7
3/01/2011,19:00,206,6.2
3/01/2011,20:00,207,5.1
3/01/2011,21:00,195,4.1
3/01/2011,22:00,262,1.5
3/01/2011,23:00,15,1.5
4/01/2011,0:00,35,1.5
4/01/2011,1:00,319,1
4/01/2011,2:00,354,3.6
4/01/2011,3:00,344,4.1
4/01/2011,4:00,344,4.6
4/01/2011,5:00,342,3.6
4/01/2011,6:00,352,4.6
4/01/2011,7:00,330,6.7
4/01/2011,8:00,327,6.7
4/01/2011,9:00,333,5.7
4/01/2011,10:00,334,4.6
4/01/2011,11:00,157,5.1
4/01/2011,12:00,142,6.7
4/01/2011,13:00,140,6.7
4/01/2011,14:00,137,7.2
4/01/2011,15:00,154,6.7
4/01/2011,16:00,143,6.7
4/01/2011,17:00,102,5.7
4/01/2011,18:00,213,6.2
4/01/2011,19:00,209,7.7
4/01/2011,20:00,214,5.1
4/01/2011,21:00,304,2.6
4/01/2011,22:00,283,2.6
4/01/2011,23:00,278,2.1
5/01/2011,0:00,41,1.5
5/01/2011,1:00,37,1.5
5/01/2011,2:00,261,2.1
5/01/2011,3:00,39,1.5
5/01/2011,4:00,356,1
5/01/2011,5:00,32,2.1
5/01/2011,6:00,76,2.1
5/01/2011,7:00,73,2.1
5/01/2011,8:00,118,2.6
5/01/2011,9:00,139,5.1
5/01/2011,10:00,143,5.1
5/01/2011,11:00,132,5.7
5/01/2011,12:00,156,6.2
5/01/2011,13:00,82,8.8
5/01/2011,14:00,91,8.8
5/01/2011,15:00,85,8.8
5/01/2011,16:00,33,7.7
5/01/2011,17:00,13,6.7
5/01/2011,18:00,45,6.7
5/01/2011,19:00,26,6.2
5/01/2011,20:00,24,5.7
5/01/2011,21:00,10,3.6
5/01/2011,22:00,20,2.6
5/01/2011,23:00,30,3.6
6/01/2011,0:00,18,3.6
6/01/2011,1:00,25,4.1
6/01/2011,2:00,25,3.1
6/01/2011,3:00,15,3.1
6/01/2011,4:00,19,2.6
6/01/2011,5:00,3,2.1
6/01/2011,6:00,320,2.6
6/01/2011,7:00,4,3.1
6/01/2011,8:00,1,3.6
6/01/2011,9:00,13,4.1
6/01/2011,10:00,32,5.1
6/01/2011,11:00,316,7.2
