Date_NZST,Time_NZST,Tair_C,Twet_C,RH_%,Tdew_C
1/01/2011,0:00,15.8,15.3,94,14.9
1/01/2011,1:00,15.5,15.3,97.5,15.1
1/01/2011,2:00,15.7,15.4,97,15.2
1/01/2011,3:00,15.6,15.4,97.5,15.2
1/01/2011,4:00,15,14.8,97.9,14.7
1/01/2011,5:00,14.2,14,97.8,13.9
1/01/2011,6:00,14.8,14.6,98.1,14.5
1/01/2011,7:00,17.2,16.7,94.3,16.3
1/01/2011,8:00,19.5,17.6,81.9,16.3
1/01/2011,9:00,20.4,17,69,14.5
1/01/2011,10:00,21.5,17.6,66.2,14.9
1/01/2011,11:00,20.5,17.1,69.2,14.7
1/01/2011,12:00,19.5,16.6,73.3,14.6
1/01/2011,13:00,21.1,17.1,64.7,14.2
1/01/2011,14:00,19.8,16.5,70.2,14.2
1/01/2011,15:00,19.1,16.1,71.5,13.8
1/01/2011,16:00,19.1,16.3,73.2,14.2
1/01/2011,17:00,18.6,16.2,76.5,14.4
1/01/2011,18:00,18.5,16.3,79.1,14.8
1/01/2011,19:00,18.2,15.9,77.8,14.3
1/01/2011,20:00,17.9,15.9,79.9,14.4
1/01/2011,21:00,17.8,16.1,83.1,14.9
1/01/2011,22:00,17.6,15.7,81.2,14.4
1/01/2011,23:00,16.4,15.1,86.3,14.1
2/01/2011,0:00,14.6,14,93.6,13.6
2/01/2011,1:00,15.1,14.8,96.7,14.6
2/01/2011,2:00,15.2,14.9,96.3,14.6
2/01/2011,3:00,14.1,13.8,96.3,13.5
2/01/2011,4:00,12.9,12.7,97.5,12.5
2/01/2011,5:00,13.1,13,98.3,12.8
2/01/2011,6:00,14.2,14.1,98.8,14
2/01/2011,7:00,16.8,15.6,88,14.8
2/01/2011,8:00,19.1,16.8,78.2,15.2
2/01/2011,9:00,21.5,17.3,64,14.4
2/01/2011,10:00,24,18.1,53.4,14
2/01/2011,11:00,25.5,18.4,47.1,13.4
2/01/2011,12:00,27,18.6,41.3,12.8
2/01/2011,13:00,28.3,18.6,35.6,11.6
2/01/2011,14:00,29,19.3,36.4,12.6
2/01/2011,15:00,29.9,20.1,36.9,13.6
2/01/2011,16:00,29,20.6,43.5,15.3
2/01/2011,17:00,27.9,20.5,48.3,16
2/01/2011,18:00,26.1,20,54.4,16.2
2/01/2011,19:00,24.1,19.2,61,16.1
2/01/2011,20:00,21.9,18.2,68.3,15.8
2/01/2011,21:00,21.2,18,71.8,15.9
2/01/2011,22:00,20.8,17.9,73.6,15.9
2/01/2011,23:00,20.6,17.8,74.9,16
3/01/2011,0:00,20.3,17.7,76.3,16
3/01/2011,1:00,20,17.5,76.8,15.8
3/01/2011,2:00,19.5,17.2,78.8,15.7
3/01/2011,3:00,19.2,17.2,80.8,15.8
3/01/2011,4:00,18.4,16.7,83.2,15.5
3/01/2011,5:00,18,16.5,85.4,15.5
3/01/2011,6:00,19.5,17.5,80.7,16.1
3/01/2011,7:00,21.7,18.4,71.4,16.3
3/01/2011,8:00,23.3,19.1,65.2,16.4
3/01/2011,9:00,25.9,20.4,58.8,17.2
3/01/2011,10:00,26.1,20.3,56.5,16.8
3/01/2011,11:00,28.2,21.5,52.8,17.7
3/01/2011,12:00,28.3,21.1,50.3,17
3/01/2011,13:00,30.6,22.4,46.5,17.8
3/01/2011,14:00,31,22.4,44.8,17.6
3/01/2011,15:00,30.6,22.4,46.7,17.9
3/01/2011,16:00,31.5,22.6,43.8,17.7
3/01/2011,17:00,27.9,21.6,54.9,18
3/01/2011,18:00,24.1,20.3,69.1,18.1
