Date_NZST,Time_NZST,Sun_Hrs
8/12/2011,10:00,1
8/12/2011,11:00,1
8/12/2011,12:00,1
8/12/2011,13:00,1
8/12/2011,14:00,1
8/12/2011,15:00,1
8/12/2011,16:00,1
8/12/2011,17:00,1
8/12/2011,18:00,1
8/12/2011,19:00,0
8/12/2011,20:00,0
8/12/2011,21:00,0
8/12/2011,22:00,0
8/12/2011,23:00,0
9/12/2011,0:00,0
9/12/2011,1:00,0
9/12/2011,2:00,0
9/12/2011,3:00,0
9/12/2011,4:00,0
9/12/2011,5:00,0
9/12/2011,6:00,0
9/12/2011,7:00,0
9/12/2011,8:00,0
9/12/2011,9:00,0
9/12/2011,10:00,0
9/12/2011,11:00,0
9/12/2011,12:00,0
9/12/2011,13:00,0.6
9/12/2011,14:00,0.9
9/12/2011,15:00,0.9
9/12/2011,16:00,0.7
9/12/2011,17:00,0.1
9/12/2011,18:00,0
9/12/2011,19:00,0
9/12/2011,20:00,0
9/12/2011,21:00,0
9/12/2011,22:00,0
9/12/2011,23:00,0
10/12/2011,0:00,0
10/12/2011,1:00,0
10/12/2011,2:00,0
10/12/2011,3:00,0
10/12/2011,4:00,0
10/12/2011,5:00,0
10/12/2011,6:00,0
10/12/2011,7:00,0
10/12/2011,8:00,0
10/12/2011,9:00,0.2
10/12/2011,10:00,0.5
10/12/2011,11:00,1
10/12/2011,12:00,0.8
10/12/2011,13:00,1
10/12/2011,14:00,1
10/12/2011,15:00,1
10/12/2011,16:00,1
10/12/2011,17:00,1
10/12/2011,18:00,0.9
10/12/2011,19:00,0.5
10/12/2011,20:00,0
10/12/2011,21:00,0
10/12/2011,22:00,0
10/12/2011,23:00,0
11/12/2011,0:00,0
11/12/2011,1:00,0
11/12/2011,2:00,0
11/12/2011,3:00,0
11/12/2011,4:00,0
11/12/2011,5:00,0
11/12/2011,6:00,0
11/12/2011,7:00,0
11/12/2011,8:00,0
11/12/2011,9:00,0
11/12/2011,10:00,0
11/12/2011,11:00,0
11/12/2011,12:00,0.4
11/12/2011,13:00,0.1
11/12/2011,14:00,0.6
11/12/2011,15:00,1
11/12/2011,16:00,1
11/12/2011,17:00,1
11/12/2011,18:00,0.8
11/12/2011,19:00,0
11/12/2011,20:00,0
11/12/2011,21:00,0
11/12/2011,22:00,0
11/12/2011,23:00,0
12/12/2011,0:00,0
12/12/2011,1:00,0
12/12/2011,2:00,0
12/12/2011,3:00,0
12/12/2011,4:00,0
12/12/2011,5:00,0
12/12/2011,6:00,0
12/12/2011,7:00,0.4
12/12/2011,8:00,0.3
12/12/2011,9:00,0.6
12/12/2011,10:00,0.9
12/12/2011,11:00,1
12/12/2011,12:00,0.3
12/12/2011,13:00,0.3
12/12/2011,14:00,0
12/12/2011,15:00,0
12/12/2011,16:00,0
12/12/2011,17:00,0
12/12/2011,18:00,0
12/12/2011,19:00,0
12/12/2011,20:00,0
12/12/2011,21:00,0
12/12/2011,22:00,0
12/12/2011,23:00,0
13/12/2011,0:00,0
13/12/2011,1:00,0
13/12/2011,2:00,0
13/12/2011,3:00,0
13/12/2011,4:00,0
13/12/2011,5:00,0
13/12/2011,6:00,0
13/12/2011,7:00,0
13/12/2011,8:00,0
13/12/2011,9:00,0
13/12/2011,10:00,0
13/12/2011,11:00,0.4
13/12/2011,12:00,0.2
13/12/2011,13:00,0.2
13/12/2011,14:00,0
13/12/2011,15:00,0
13/12/2011,16:00,0
13/12/2011,17:00,0
13/12/2011,18:00,0
13/12/2011,19:00,0
13/12/2011,20:00,0
13/12/2011,21:00,0
13/12/2011,22:00,0
13/12/2011,23:00,0
14/12/2011,0:00,0
14/12/2011,1:00,0
14/12/2011,2:00,0
14/12/2011,3:00,0
14/12/2011,4:00,0
14/12/2011,5:00,0
14/12/2011,6:00,0
14/12/2011,7:00,0
14/12/2011,8:00,1
14/12/2011,9:00,1
14/12/2011,10:00,1
14/12/2011,11:00,0.3
14/12/2011,12:00,0
14/12/2011,13:00,0.1
14/12/2011,14:00,0.1
14/12/2011,15:00,0.7
14/12/2011,16:00,0.6
14/12/2011,17:00,0.1
14/12/2011,18:00,0
14/12/2011,19:00,0
14/12/2011,20:00,0
14/12/2011,21:00,0
14/12/2011,22:00,0
14/12/2011,23:00,0
15/12/2011,0:00,0
15/12/2011,1:00,0
15/12/2011,2:00,0
15/12/2011,3:00,0
15/12/2011,4:00,0
15/12/2011,5:00,0
15/12/2011,6:00,0
15/12/2011,7:00,0
15/12/2011,8:00,0
15/12/2011,9:00,0
15/12/2011,10:00,0
15/12/2011,11:00,0
15/12/2011,12:00,0
15/12/2011,13:00,0
15/12/2011,14:00,0
15/12/2011,15:00,0
15/12/2011,16:00,0
15/12/2011,17:00,0
15/12/2011,18:00,0
15/12/2011,19:00,0
15/12/2011,20:00,0
15/12/2011,21:00,0
15/12/2011,22:00,0
15/12/2011,23:00,0
16/12/2011,0:00,0
16/12/2011,1:00,0
16/12/2011,2:00,0
16/12/2011,3:00,0
16/12/2011,4:00,0
16/12/2011,5:00,0
16/12/2011,6:00,1
16/12/2011,7:00,1
16/12/2011,8:00,1
16/12/2011,9:00,0.8
16/12/2011,10:00,0.8
16/12/2011,11:00,0.9
16/12/2011,12:00,0.9
16/12/2011,13:00,0.9
16/12/2011,14:00,0.9
16/12/2011,15:00,1
16/12/2011,16:00,0.5
16/12/2011,17:00,0.7
16/12/2011,18:00,0
16/12/2011,19:00,0
16/12/2011,20:00,0
16/12/2011,21:00,0
16/12/2011,22:00,0
16/12/2011,23:00,0
17/12/2011,0:00,0
17/12/2011,1:00,0
17/12/2011,2:00,0
17/12/2011,3:00,0
17/12/2011,4:00,0
17/12/2011,5:00,0
17/12/2011,6:00,0
17/12/2011,7:00,0
17/12/2011,8:00,0
17/12/2011,9:00,0
17/12/2011,10:00,0
17/12/2011,11:00,0.1
