Date_NZST,Time_NZST,WDir_DegT,WSpeed_m/s
1/01/2011,0:00,9,0.5
1/01/2011,1:00,341,0.8
1/01/2011,2:00,349,0.9
1/01/2011,3:00,3,1.4
1/01/2011,4:00,87,0.7
1/01/2011,5:00,346,0.7
1/01/2011,6:00,301,0.6
1/01/2011,7:00,231,1.4
1/01/2011,8:00,271,1.1
1/01/2011,9:00,147,2.8
1/01/2011,10:00,158,4.1
1/01/2011,11:00,155,4.5
1/01/2011,12:00,163,4.7
1/01/2011,13:00,158,5.5
1/01/2011,14:00,169,5.6
1/01/2011,15:00,166,4.8
1/01/2011,16:00,146,4.6
1/01/2011,17:00,169,4.1
1/01/2011,18:00,155,2.8
1/01/2011,19:00,155,2.9
1/01/2011,20:00,141,2.6
1/01/2011,21:00,124,2.4
1/01/2011,22:00,152,2.3
1/01/2011,23:00,104,1.1
2/01/2011,0:00,349,0.5
2/01/2011,1:00,332,0.9
2/01/2011,2:00,318,1
2/01/2011,3:00,335,0.8
2/01/2011,4:00,338,1.2
2/01/2011,5:00,349,1.6
2/01/2011,6:00,324,2.1
2/01/2011,7:00,349,1.9
2/01/2011,8:00,338,2.3
2/01/2011,9:00,12,1.6
2/01/2011,10:00,349,2.6
2/01/2011,11:00,9,2.9
2/01/2011,12:00,330,3.2
2/01/2011,13:00,175,3.5
2/01/2011,14:00,358,3.3
2/01/2011,15:00,138,2.8
2/01/2011,16:00,60,2.4
2/01/2011,17:00,332,4.3
2/01/2011,18:00,352,4.5
2/01/2011,19:00,354,3.7
2/01/2011,20:00,341,3.3
2/01/2011,21:00,338,3.9
2/01/2011,22:00,349,4
2/01/2011,23:00,341,3.5
3/01/2011,0:00,340,3.4
3/01/2011,1:00,344,3.2
3/01/2011,2:00,332,3
3/01/2011,3:00,340,2.8
3/01/2011,4:00,338,2.9
3/01/2011,5:00,332,2.5
3/01/2011,6:00,332,2.4
3/01/2011,7:00,327,3.3
3/01/2011,8:00,343,3.8
3/01/2011,9:00,121,2.6
3/01/2011,10:00,144,2.4
3/01/2011,11:00,149,3.1
3/01/2011,12:00,158,3
3/01/2011,13:00,178,3.4
3/01/2011,14:00,124,3.5
3/01/2011,15:00,166,3.4
3/01/2011,16:00,110,2.9
3/01/2011,17:00,197,2.3
3/01/2011,18:00,197,3.5
3/01/2011,19:00,189,3.6
3/01/2011,20:00,192,2.3
3/01/2011,21:00,178,1.4
3/01/2011,22:00,329,0.9
3/01/2011,23:00,127,0.5
4/01/2011,0:00,358,0.5
4/01/2011,1:00,99,0.3
4/01/2011,2:00,357,1.1
