Date_NZST,Time_NZST,Tmax_C,Tmin_C,Tgmin_C
1/01/2011,0:00,17.2,15.8,11
1/01/2011,1:00,15.8,14.6,10.6
1/01/2011,2:00,15.8,15.3,12.8
1/01/2011,3:00,15.7,15.5,14.7
1/01/2011,4:00,15.8,14.9,9
1/01/2011,5:00,15,13.7,8.6
1/01/2011,6:00,14.8,13.5,9.8
1/01/2011,7:00,17.4,14.9,15.2
1/01/2011,8:00,19.5,17.3,20.7
1/01/2011,9:00,20.9,19.8,26.1
1/01/2011,10:00,21.5,20.4,28.9
1/01/2011,11:00,21.9,20.5,29.5
1/01/2011,12:00,22.5,19.4,23.6
1/01/2011,13:00,22,19.2,23.2
1/01/2011,14:00,21.3,19.8,24.8
1/01/2011,15:00,21.3,19.1,23.4
1/01/2011,16:00,21.4,19.1,23.1
1/01/2011,17:00,19.7,18.4,20.2
1/01/2011,18:00,18.8,18.4,20
1/01/2011,19:00,18.5,18.2,18.1
1/01/2011,20:00,18.3,17.8,16.2
1/01/2011,21:00,18,17.8,16.9
1/01/2011,22:00,17.9,17.6,16.4
1/01/2011,23:00,17.6,16.4,11.3
2/01/2011,0:00,16.4,14.3,9.3
2/01/2011,1:00,15.2,14.4,10.6
2/01/2011,2:00,15.4,15.1,13.9
2/01/2011,3:00,15.2,14.1,10.2
2/01/2011,4:00,14.2,12.6,6.7
2/01/2011,5:00,13.5,12.9,6.7
2/01/2011,6:00,14.2,13,10.8
2/01/2011,7:00,16.8,14.2,14.7
2/01/2011,8:00,19.2,16.9,20.5
2/01/2011,9:00,21.7,18.9,25.6
2/01/2011,10:00,24,21.5,30.1
2/01/2011,11:00,25.7,24,33
2/01/2011,12:00,27.4,25.6,35.4
2/01/2011,13:00,28.5,27.2,36.6
2/01/2011,14:00,29.2,27.8,37.9
2/01/2011,15:00,29.9,28.7,37.6
2/01/2011,16:00,30.1,28.4,35.9
2/01/2011,17:00,29.3,27.8,28.9
2/01/2011,18:00,28,26.1,27.4
2/01/2011,19:00,26.2,24.1,24
2/01/2011,20:00,24.1,21.9,20.4
2/01/2011,21:00,22,21,19.7
2/01/2011,22:00,21.2,20.6,19.3
2/01/2011,23:00,20.8,20.4,18.8
3/01/2011,0:00,20.6,20.2,18.5
3/01/2011,1:00,20.3,19.9,18.1
3/01/2011,2:00,20,19.4,17.7
3/01/2011,3:00,19.6,18.8,17
3/01/2011,4:00,19.1,18.4,16.7
3/01/2011,5:00,18.4,17.9,16
3/01/2011,6:00,19.5,17.9,16.2
3/01/2011,7:00,21.7,19.5,19.9
3/01/2011,8:00,23.3,21.7,24.6
3/01/2011,9:00,25.9,23.3,28.4
