Date_NZST,Time_NZST,Amount_MJ/m2
1/01/2011,0:00,0
1/01/2011,1:00,0
1/01/2011,2:00,0
1/01/2011,3:00,0
1/01/2011,4:00,0
1/01/2011,5:00,0
1/01/2011,6:00,0.05
1/01/2011,7:00,0.24
1/01/2011,8:00,0.35
1/01/2011,9:00,0.72
1/01/2011,10:00,1.5
1/01/2011,11:00,2.43
1/01/2011,12:00,3.5
1/01/2011,13:00,3.56
1/01/2011,14:00,3.84
1/01/2011,15:00,3.44
1/01/2011,16:00,3.01
1/01/2011,17:00,2.34
1/01/2011,18:00,1.51
1/01/2011,19:00,0.7
1/01/2011,20:00,0.22
1/01/2011,21:00,0
1/01/2011,22:00,0
1/01/2011,23:00,0
2/01/2011,0:00,0
2/01/2011,1:00,0
2/01/2011,2:00,0
2/01/2011,3:00,0
2/01/2011,4:00,0
2/01/2011,5:00,0
2/01/2011,6:00,0.05
2/01/2011,7:00,0.14
2/01/2011,8:00,0.43
2/01/2011,9:00,1.5
2/01/2011,10:00,1.98
2/01/2011,11:00,1.77
2/01/2011,12:00,3.3
2/01/2011,13:00,3.79
2/01/2011,14:00,3.24
2/01/2011,15:00,3.23
2/01/2011,16:00,2.94
2/01/2011,17:00,2.3
2/01/2011,18:00,1.49
2/01/2011,19:00,0.85
2/01/2011,20:00,0.24
2/01/2011,21:00,0
2/01/2011,22:00,0
2/01/2011,23:00,0
3/01/2011,0:00,0
3/01/2011,1:00,0
3/01/2011,2:00,0
3/01/2011,3:00,0
3/01/2011,4:00,0
3/01/2011,5:00,0
3/01/2011,6:00,0.13
3/01/2011,7:00,0.79
3/01/2011,8:00,1.5
3/01/2011,9:00,2.23
3/01/2011,10:00,2.87
3/01/2011,11:00,3.38
3/01/2011,12:00,3.7
3/01/2011,13:00,3.82
3/01/2011,14:00,3.74
3/01/2011,15:00,3.47
3/01/2011,16:00,3.06
3/01/2011,17:00,2.38
3/01/2011,18:00,1.66
3/01/2011,19:00,0.94
3/01/2011,20:00,0.24
3/01/2011,21:00,0
3/01/2011,22:00,0
3/01/2011,23:00,0
4/01/2011,0:00,0
4/01/2011,1:00,0
4/01/2011,2:00,0
4/01/2011,3:00,0
4/01/2011,4:00,0
4/01/2011,5:00,0
4/01/2011,6:00,0.03
4/01/2011,7:00,0.31
4/01/2011,8:00,0.54
4/01/2011,9:00,0.65
4/01/2011,10:00,1.03
4/01/2011,11:00,1.63
4/01/2011,12:00,2.88
4/01/2011,13:00,3
