Date_NZST,Time_NZST,Tair_C,Twet_C,RH_%,Tdew_C
1/01/2011,0:00,18,14.2,63.6,11
1/01/2011,1:00,17.2,13.7,65.9,10.8
1/01/2011,2:00,17,13.6,66.1,10.6
1/01/2011,3:00,16.7,13.9,71.4,11.5
1/01/2011,4:00,16.4,13.7,72.5,11.5
1/01/2011,5:00,16.8,14.4,75.9,12.5
1/01/2011,6:00,17.1,14.2,71.1,11.8
1/01/2011,7:00,17.3,14.3,70.6,11.9
1/01/2011,8:00,17.4,14.7,73.5,12.6
1/01/2011,9:00,19.1,15.6,67,12.8
1/01/2011,10:00,19.5,15.8,65.7,12.9
1/01/2011,11:00,20.1,14.8,53.6,10.4
1/01/2011,12:00,22.7,17.9,60.6,14.7
1/01/2011,13:00,22.3,18.1,64.7,15.3
1/01/2011,14:00,22,17.5,62.1,14.4
1/01/2011,15:00,21.8,17.7,64.6,14.9
1/01/2011,16:00,21.6,17.4,64,14.5
1/01/2011,17:00,20.7,16.7,64.6,13.8
1/01/2011,18:00,20.2,17.3,73.5,15.3
1/01/2011,19:00,19.2,16.8,77.6,15.2
1/01/2011,20:00,18,15.5,75.5,13.6
1/01/2011,21:00,17.7,15,73.7,13
1/01/2011,22:00,16.6,14.5,78.5,12.9
1/01/2011,23:00,15.5,14.1,84.4,12.9
2/01/2011,0:00,15.1,13.7,84.5,12.5
2/01/2011,1:00,14.8,13.8,88.5,12.9
2/01/2011,2:00,14,13.3,91.8,12.7
2/01/2011,3:00,13.5,12.9,92.4,12.3
2/01/2011,4:00,13.4,12.8,93.3,12.4
2/01/2011,5:00,13.1,12.5,92.5,11.9
2/01/2011,6:00,14.9,12.6,75.1,10.5
2/01/2011,7:00,16.3,12.8,64.9,9.7
2/01/2011,8:00,19.5,14.2,52.5,9.5
2/01/2011,9:00,21.1,15.1,49.5,10.2
2/01/2011,10:00,21.3,15.9,54.3,11.7
2/01/2011,11:00,20.8,17.4,69.9,15.1
2/01/2011,12:00,23.1,18.3,60.5,15.1
2/01/2011,13:00,25.4,21,65.7,18.5
2/01/2011,14:00,26.4,18.2,41.4,12.3
2/01/2011,15:00,26.8,17.3,34.2,9.7
2/01/2011,16:00,24.2,20.6,70.5,18.5
2/01/2011,17:00,24.5,20.1,65,17.5
2/01/2011,18:00,23.3,20.3,74.9,18.6
2/01/2011,19:00,22.4,19.9,78.3,18.4
2/01/2011,20:00,21.5,18.8,75.8,17.1
2/01/2011,21:00,20.1,18,80.3,16.6
2/01/2011,22:00,18.8,16.5,78,14.9
2/01/2011,23:00,18.3,15.9,76.9,14.2
3/01/2011,0:00,17.8,15.9,81.5,14.6
3/01/2011,1:00,16.2,14.7,84.7,13.6
3/01/2011,2:00,15.6,14.8,90.8,14.1
3/01/2011,3:00,14.9,14,89.5,13.2
3/01/2011,4:00,13.9,13.3,93.3,12.8
3/01/2011,5:00,13.4,12.7,91.4,12
3/01/2011,6:00,14.6,13.5,87.8,12.6
3/01/2011,7:00,16.5,14.2,76.3,12.3
3/01/2011,8:00,18.1,15.3,72.7,13.1
3/01/2011,9:00,21.1,17.4,67.2,14.8
3/01/2011,10:00,22.6,18.8,68.1,16.4
3/01/2011,11:00,23.1,19.1,67.2,16.7
3/01/2011,12:00,23.6,19,62.9,16.1
3/01/2011,13:00,24.5,20.3,66.2,17.8
3/01/2011,14:00,24,20.8,73.7,19
3/01/2011,15:00,23.9,20.9,75,19.2
3/01/2011,16:00,23.6,20.6,75,18.9
3/01/2011,17:00,23.1,20.4,76.9,18.8
3/01/2011,18:00,22.3,19.7,77.6,18.2
3/01/2011,19:00,21.9,19.6,79.7,18.2
3/01/2011,20:00,20.9,18.5,78.3,17
3/01/2011,21:00,19.3,18.1,88.7,17.4
3/01/2011,22:00,18.9,17.9,90.5,17.3
3/01/2011,23:00,18.9,17.8,89.3,17.1
4/01/2011,0:00,19.1,17.9,88.2,17.1
4/01/2011,1:00,19,18,90.4,17.4
4/01/2011,2:00,18.7,17.5,88.6,16.8
4/01/2011,3:00,18.5,17.3,88.4,16.5
4/01/2011,4:00,18,17.2,92.1,16.7
4/01/2011,5:00,16.9,16.3,93.2,15.8
4/01/2011,6:00,16.4,15.9,94.9,15.6
4/01/2011,7:00,17.9,17.4,94.4,17
4/01/2011,8:00,18.7,17.6,89.4,16.9
4/01/2011,9:00,19.9,18.4,85.7,17.4
4/01/2011,10:00,20.7,18.8,83,17.7
4/01/2011,11:00,22,19.5,78.2,18
4/01/2011,12:00,23.3,20.5,76.3,18.9
4/01/2011,13:00,22.9,20.3,77.8,18.8
4/01/2011,14:00,23.4,20.4,74.5,18.6
4/01/2011,15:00,21.7,19.6,81.5,18.4
4/01/2011,16:00,22.5,20.1,79.1,18.7
4/01/2011,17:00,21.4,19.3,81.5,18.1
4/01/2011,18:00,21.6,19.8,83.6,18.7
4/01/2011,19:00,20.4,18.6,83.4,17.5
4/01/2011,20:00,18.9,17.7,88.1,16.9
4/01/2011,21:00,18.8,17.5,87.7,16.7
4/01/2011,22:00,19.1,18.1,90.6,17.5
4/01/2011,23:00,18.9,17.9,89.8,17.2
5/01/2011,0:00,18.8,17.8,89.9,17.1
5/01/2011,1:00,18.6,17.7,91.5,17.2
5/01/2011,2:00,18.7,17.7,90.5,17.1
5/01/2011,3:00,18.6,17.6,90.3,17
5/01/2011,4:00,18.5,17.5,90.1,16.9
5/01/2011,5:00,18.4,17.5,90.8,16.9
5/01/2011,6:00,18.5,17.4,89.5,16.8
5/01/2011,7:00,19,17.8,88.2,17
5/01/2011,8:00,20,18.2,83.5,17.1
5/01/2011,9:00,21.4,19,78.5,17.5
5/01/2011,10:00,22,19.5,78.1,18
5/01/2011,11:00,21.7,19.6,81.1,18.3
5/01/2011,12:00,23.2,20.1,74,18.3
5/01/2011,13:00,24.1,21,74.3,19.3
5/01/2011,14:00,23.9,20.1,69.2,17.9
5/01/2011,15:00,23.2,19.8,71.3,17.7
5/01/2011,16:00,22.5,19.4,73.8,17.6
5/01/2011,17:00,22.6,19.6,74,17.7
5/01/2011,18:00,22,18.4,68.8,16
5/01/2011,19:00,21.3,17.5,66.8,14.9
5/01/2011,20:00,20.3,17.7,76.2,16
5/01/2011,21:00,20.1,17.1,72.9,15.1
5/01/2011,22:00,20.2,17.4,74.5,15.5
5/01/2011,23:00,18.8,16.5,78.2,14.9
6/01/2011,0:00,18.7,16.8,81.7,15.5
6/01/2011,1:00,18.7,16.3,76.7,14.5
6/01/2011,2:00,19,16.9,80.1,15.5
6/01/2011,3:00,18.6,18,93.5,17.5
6/01/2011,4:00,18.2,17.7,95.1,17.4
6/01/2011,5:00,18.4,17.4,89.7,16.7
6/01/2011,6:00,18.5,17.3,88.1,16.5
6/01/2011,7:00,18.2,17.4,92,16.9
6/01/2011,8:00,18.6,17.9,92.7,17.4
6/01/2011,9:00,19,18.3,92.6,17.8
6/01/2011,10:00,19.4,18.5,91.6,18
6/01/2011,11:00,19.5,18.8,93.6,18.4
6/01/2011,12:00,19.3,19.1,97.5,18.9
6/01/2011,13:00,20.6,20.3,96.8,20.1
6/01/2011,14:00,21.8,21,92.8,20.6
6/01/2011,15:00,21,20.2,92.8,19.8
6/01/2011,16:00,21.1,20.1,90.9,19.6
6/01/2011,17:00,20.9,20,91.3,19.4
6/01/2011,18:00,19.9,19.3,93.9,18.9
6/01/2011,19:00,20.5,19.7,92.3,19.2
6/01/2011,20:00,19.1,18.6,94.6,18.2
6/01/2011,21:00,19.3,18.5,92.4,18
6/01/2011,22:00,19.5,18.1,86.9,17.3
6/01/2011,23:00,19.6,18.4,88.8,17.7
7/01/2011,0:00,19.2,18,88.4,17.2
7/01/2011,1:00,18.8,17.5,87.2,16.6
7/01/2011,2:00,18.4,17,86.5,16.1
7/01/2011,3:00,18.1,16.7,85.9,15.7
7/01/2011,4:00,17.5,16.3,87.9,15.5
7/01/2011,5:00,15.7,15.1,93.1,14.6
7/01/2011,6:00,16.5,15.9,93.7,15.5
7/01/2011,7:00,18.2,16.5,83,15.3
7/01/2011,8:00,20.2,17.7,77,16
7/01/2011,9:00,21.7,18,68.2,15.6
7/01/2011,10:00,24.1,20.4,69.7,18.2
7/01/2011,11:00,23.3,20.6,76.8,19
7/01/2011,12:00,23,20.8,81.3,19.6
7/01/2011,13:00,23.5,20.4,74.1,18.6
7/01/2011,14:00,26.1,17.4,38.4,10.9
7/01/2011,15:00,26.2,17.1,36.1,10
7/01/2011,16:00,25.5,15.7,30.6,7
7/01/2011,17:00,24.6,15.5,33.1,7.3
7/01/2011,18:00,23.8,14.9,33.1,6.6
7/01/2011,19:00,22.6,14.3,35.3,6.5
7/01/2011,20:00,20.8,13.6,39.7,6.6
7/01/2011,21:00,19.5,13.3,45.7,7.5
7/01/2011,22:00,18.5,12.6,46.2,6.7
7/01/2011,23:00,17.9,11.6,41.7,4.7
8/01/2011,0:00,17.7,11,38.5,3.4
8/01/2011,1:00,16.7,10.2,37.8,2.3
8/01/2011,2:00,14.8,9.4,44,2.7
8/01/2011,3:00,13.4,10.4,66.1,7.2
8/01/2011,4:00,12.2,9.4,66.8,6.2
8/01/2011,5:00,12.1,9.7,71,7
8/01/2011,6:00,13.4,11.2,74.7,9
8/01/2011,7:00,14.7,11.5,66,8.4
8/01/2011,8:00,17,12.9,59.7,9.1
8/01/2011,9:00,18.7,14,57,10
8/01/2011,10:00,18.8,14.8,63,11.6
