Date_NZST,Time_NZST,WDir_DegT,WSpeed_m/s
1/01/2011,0:00,231,3.4
1/01/2011,1:00,225,2.7
1/01/2011,2:00,228,2.9
1/01/2011,3:00,287,1.4
1/01/2011,4:00,88,1.5
1/01/2011,5:00,307,1.8
1/01/2011,6:00,239,1.7
1/01/2011,7:00,101,1.8
1/01/2011,8:00,352,3.6
1/01/2011,9:00,76,3
1/01/2011,10:00,60,2.2
1/01/2011,11:00,57,2.5
1/01/2011,12:00,26,4
1/01/2011,13:00,358,6.6
1/01/2011,14:00,9,7
1/01/2011,15:00,6,7.4
1/01/2011,16:00,14,6.6
1/01/2011,17:00,26,6.7
1/01/2011,18:00,23,6.3
1/01/2011,19:00,34,5.6
1/01/2011,20:00,37,5.1
1/01/2011,21:00,28,3
1/01/2011,22:00,51,1.6
1/01/2011,23:00,82,1.6
2/01/2011,0:00,183,0.9
2/01/2011,1:00,194,1.6
2/01/2011,2:00,220,2
2/01/2011,3:00,209,1.2
2/01/2011,4:00,211,1
2/01/2011,5:00,48,1
2/01/2011,6:00,332,1.2
2/01/2011,7:00,88,0.9
2/01/2011,8:00,234,4.5
2/01/2011,9:00,240,4.1
2/01/2011,10:00,329,4.1
2/01/2011,11:00,352,5.4
2/01/2011,12:00,25,5.1
2/01/2011,13:00,14,4.8
2/01/2011,14:00,228,4.4
2/01/2011,15:00,228,5.3
2/01/2011,16:00,17,6.3
2/01/2011,17:00,26,5.3
2/01/2011,18:00,31,4
2/01/2011,19:00,9,3.8
2/01/2011,20:00,332,3.6
2/01/2011,21:00,71,1.6
2/01/2011,22:00,127,1.3
2/01/2011,23:00,12,0.8
3/01/2011,0:00,273,1.3
3/01/2011,1:00,71,1.2
3/01/2011,2:00,248,0.4
3/01/2011,3:00,256,1.3
3/01/2011,4:00,166,0.5
3/01/2011,5:00,71,1.1
3/01/2011,6:00,250,1
3/01/2011,7:00,118,0.5
3/01/2011,8:00,310,1
3/01/2011,9:00,12,2
3/01/2011,10:00,20,4
3/01/2011,11:00,28,4.8
3/01/2011,12:00,25,6.3
3/01/2011,13:00,25,8.1
3/01/2011,14:00,25,9.4
3/01/2011,15:00,31,10.2
3/01/2011,16:00,28,10.5
3/01/2011,17:00,28,10.6
3/01/2011,18:00,28,10.1
3/01/2011,19:00,23,8.6
3/01/2011,20:00,344,4.9
3/01/2011,21:00,214,3.9
3/01/2011,22:00,225,3.9
3/01/2011,23:00,208,3.1
4/01/2011,0:00,248,2.3
4/01/2011,1:00,245,2
4/01/2011,2:00,220,1.7
4/01/2011,3:00,206,1.7
4/01/2011,4:00,228,1.6
4/01/2011,5:00,208,2.1
4/01/2011,6:00,59,0.8
4/01/2011,7:00,0,0
4/01/2011,8:00,310,1.1
4/01/2011,9:00,355,1.2
4/01/2011,10:00,349,1.4
4/01/2011,11:00,12,2.4
4/01/2011,12:00,352,3
4/01/2011,13:00,17,4.8
4/01/2011,14:00,3,4.4
4/01/2011,15:00,28,5.4
4/01/2011,16:00,23,6.1
4/01/2011,17:00,28,8.2
4/01/2011,18:00,31,6.7
4/01/2011,19:00,3,4.6
4/01/2011,20:00,45,4.6
4/01/2011,21:00,31,1.7
4/01/2011,22:00,332,2.2
4/01/2011,23:00,329,1
5/01/2011,0:00,57,2.9
5/01/2011,1:00,34,2.9
5/01/2011,2:00,341,1
5/01/2011,3:00,234,0.4
5/01/2011,4:00,192,1.4
5/01/2011,5:00,270,1.3
5/01/2011,6:00,62,0.4
5/01/2011,7:00,155,0.3
5/01/2011,8:00,9,0.4
5/01/2011,9:00,349,2
5/01/2011,10:00,1,2.5
5/01/2011,11:00,338,2.8
5/01/2011,12:00,20,2.8
5/01/2011,13:00,355,4
5/01/2011,14:00,17,4.3
5/01/2011,15:00,11,5.3
5/01/2011,16:00,29,5
5/01/2011,17:00,34,4.8
5/01/2011,18:00,51,4.1
5/01/2011,19:00,59,4.7
5/01/2011,20:00,40,4.8
5/01/2011,21:00,68,3.9
5/01/2011,22:00,242,1.9
5/01/2011,23:00,192,1.5
6/01/2011,0:00,186,0.1
6/01/2011,1:00,70,0.4
6/01/2011,2:00,70,0.1
6/01/2011,3:00,29,3.8
6/01/2011,4:00,102,3.4
6/01/2011,5:00,88,3.9
6/01/2011,6:00,42,5.2
6/01/2011,7:00,68,6
6/01/2011,8:00,59,7.5
6/01/2011,9:00,43,9.2
6/01/2011,10:00,37,10.8
6/01/2011,11:00,42,10.4
6/01/2011,12:00,37,10.8
6/01/2011,13:00,31,11.3
6/01/2011,14:00,23,12.9
6/01/2011,15:00,34,13.1
6/01/2011,16:00,31,14
6/01/2011,17:00,45,14
6/01/2011,18:00,40,13.2
6/01/2011,19:00,31,14.9
6/01/2011,20:00,62,12.1
6/01/2011,21:00,73,10.3
6/01/2011,22:00,74,10.1
6/01/2011,23:00,34,11.9
7/01/2011,0:00,37,12.8
7/01/2011,1:00,68,8.7
7/01/2011,2:00,71,6.8
7/01/2011,3:00,76,5.8
7/01/2011,4:00,74,4.6
7/01/2011,5:00,161,1.7
7/01/2011,6:00,338,1.6
7/01/2011,7:00,195,0.7
7/01/2011,8:00,203,1.4
7/01/2011,9:00,76,1.3
7/01/2011,10:00,3,1.7
7/01/2011,11:00,25,5
7/01/2011,12:00,25,6.5
7/01/2011,13:00,17,6.6
7/01/2011,14:00,265,5.6
7/01/2011,15:00,256,7.8
7/01/2011,16:00,248,8.2
7/01/2011,17:00,236,7.8
7/01/2011,18:00,231,8.1
7/01/2011,19:00,242,9.6
7/01/2011,20:00,239,9.9
7/01/2011,21:00,242,6.9
7/01/2011,22:00,237,7.6
7/01/2011,23:00,236,8
8/01/2011,0:00,228,8.2
8/01/2011,1:00,231,4.3
8/01/2011,2:00,14,2
8/01/2011,3:00,208,1
8/01/2011,4:00,194,1.1
8/01/2011,5:00,290,0.6
8/01/2011,6:00,315,1.1
8/01/2011,7:00,242,1.8
8/01/2011,8:00,265,2.2
8/01/2011,9:00,259,1.7
8/01/2011,10:00,338,2.5
8/01/2011,11:00,358,4.6
8/01/2011,12:00,338,5.2
8/01/2011,13:00,256,5.1
8/01/2011,14:00,355,5.7
8/01/2011,15:00,26,5.6
8/01/2011,16:00,23,6.4
8/01/2011,17:00,17,6
8/01/2011,18:00,9,5.6
8/01/2011,19:00,352,4.5
8/01/2011,20:00,318,4
