Date_NZST,Time_NZST,Tmax_C,Tmin_C,Tgmin_C
1/01/2011,0:00,18.5,18,14.7
1/01/2011,1:00,18,17.2,14.4
1/01/2011,2:00,17.5,16.8,14.1
1/01/2011,3:00,16.7,14.9,11.8
1/01/2011,4:00,17.2,16.2,12.9
1/01/2011,5:00,16.8,16.4,15.7
1/01/2011,6:00,17.1,16.8,16
1/01/2011,7:00,17.3,16.8,16.7
1/01/2011,8:00,17.9,17.3,19
1/01/2011,9:00,19.1,17.2,18.5
1/01/2011,10:00,19.6,18.5,25.7
1/01/2011,11:00,21.3,19.2,31.3
1/01/2011,12:00,22.7,20.1,32.2
1/01/2011,13:00,22.7,21.1,34.7
1/01/2011,14:00,22.6,21.8,39.1
1/01/2011,15:00,22,21.6,40.3
1/01/2011,16:00,22.1,21.6,39
1/01/2011,17:00,21.6,20.7,34.4
1/01/2011,18:00,21,19.5,27.6
1/01/2011,19:00,20.2,18.7,21.9
1/01/2011,20:00,19.3,18,18.1
1/01/2011,21:00,18,17.6,16.8
1/01/2011,22:00,17.7,16.6,13.3
1/01/2011,23:00,16.5,15.4,12.4
2/01/2011,0:00,15.5,15,12.3
2/01/2011,1:00,15.4,14.4,11.8
2/01/2011,2:00,14.9,14,11.1
2/01/2011,3:00,14.1,13.4,10.2
2/01/2011,4:00,13.8,13.3,9.7
2/01/2011,5:00,13.5,12.5,10.4
2/01/2011,6:00,15,13.1,12
2/01/2011,7:00,16.3,14.9,14.8
2/01/2011,8:00,19.5,16.3,15.6
2/01/2011,9:00,21.3,19.5,20.4
2/01/2011,10:00,21.8,20.7,23.7
2/01/2011,11:00,22,20.8,27.7
2/01/2011,12:00,23.6,20.8,30.4
2/01/2011,13:00,25.4,23,39.7
2/01/2011,14:00,26.5,24.6,35.6
2/01/2011,15:00,27.3,25.9,34.5
2/01/2011,16:00,27.3,23.9,40.3
2/01/2011,17:00,24.6,23.2,38.3
2/01/2011,18:00,24.6,22.9,34.2
2/01/2011,19:00,23.4,22.4,27.9
2/01/2011,20:00,22.3,21.3,19.6
2/01/2011,21:00,21.4,20.1,15.7
2/01/2011,22:00,20.2,18.5,14.6
2/01/2011,23:00,19.7,18.2,13.8
3/01/2011,0:00,18.4,17.4,12.4
3/01/2011,1:00,17.8,16.2,11.4
3/01/2011,2:00,16.3,15.6,10.7
3/01/2011,3:00,15.7,14.9,10.4
3/01/2011,4:00,14.8,13.2,9.5
3/01/2011,5:00,13.9,13.3,9.3
3/01/2011,6:00,14.6,13.6,9.9
3/01/2011,7:00,16.5,14.6,15
3/01/2011,8:00,18.1,16.7,24.8
3/01/2011,9:00,21.1,18.2,29.6
3/01/2011,10:00,22.6,21.1,37.8
3/01/2011,11:00,23.5,22.4,41.8
3/01/2011,12:00,24.1,22.9,42.1
3/01/2011,13:00,24.9,23.8,42.8
3/01/2011,14:00,24.9,24,41.2
3/01/2011,15:00,24.2,23.4,38.7
3/01/2011,16:00,23.9,23.3,38
3/01/2011,17:00,23.8,22.8,35.1
3/01/2011,18:00,23.1,22.2,31.4
3/01/2011,19:00,22.6,21.9,27
3/01/2011,20:00,21.9,20.8,18.8
3/01/2011,21:00,21,19.3,18
3/01/2011,22:00,19.3,18.8,17.3
3/01/2011,23:00,19,18.8,17.1
4/01/2011,0:00,19.2,18.7,16.8
4/01/2011,1:00,19.2,19,18.6
4/01/2011,2:00,19,18.7,17.8
4/01/2011,3:00,18.8,18.4,17
4/01/2011,4:00,18.5,18,15.3
4/01/2011,5:00,18,16.9,14.5
4/01/2011,6:00,16.9,16.4,13.3
4/01/2011,7:00,17.9,16.4,13.6
4/01/2011,8:00,19.2,17.9,20.9
4/01/2011,9:00,19.9,18.7,21.8
4/01/2011,10:00,20.8,19.8,27.4
4/01/2011,11:00,22,20.5,30.3
4/01/2011,12:00,23.3,22,36
4/01/2011,13:00,23.8,22.8,39.7
4/01/2011,14:00,23.4,22.6,39.5
4/01/2011,15:00,23.6,21.7,34.7
4/01/2011,16:00,22.6,21.2,32.1
4/01/2011,17:00,22.9,21.4,30.7
4/01/2011,18:00,21.6,20.6,26.5
4/01/2011,19:00,22,20.4,22
4/01/2011,20:00,20.4,18.9,19.5
4/01/2011,21:00,19,18.8,18.8
4/01/2011,22:00,19.1,18.6,17.2
4/01/2011,23:00,19,18.6,18.3
5/01/2011,0:00,19.2,18.8,18.3
5/01/2011,1:00,18.8,18.6,18.5
5/01/2011,2:00,18.7,18.4,17.8
5/01/2011,3:00,18.7,18.6,18.6
5/01/2011,4:00,18.6,18.4,18.1
5/01/2011,5:00,18.4,18.1,17.2
5/01/2011,6:00,18.5,18.4,17.7
5/01/2011,7:00,19.1,18.4,18.9
5/01/2011,8:00,20,19.1,22.6
5/01/2011,9:00,21.9,20.1,26.8
5/01/2011,10:00,22.3,21.2,33.2
5/01/2011,11:00,22.6,21.5,34.6
5/01/2011,12:00,23.8,21.8,35.3
5/01/2011,13:00,24.2,22.5,41.7
5/01/2011,14:00,24.9,23.9,43.2
5/01/2011,15:00,24.7,22.9,36.8
5/01/2011,16:00,23.2,21.8,34.4
5/01/2011,17:00,22.7,21.2,30.4
5/01/2011,18:00,22.9,21.9,27.5
5/01/2011,19:00,22,21.3,22.3
5/01/2011,20:00,21.3,20.3,19.4
5/01/2011,21:00,20.3,19.9,18.2
5/01/2011,22:00,20.2,19.3,16.9
5/01/2011,23:00,20.3,18.8,16.2
6/01/2011,0:00,19.1,18.7,15.3
6/01/2011,1:00,18.7,18.2,15.9
6/01/2011,2:00,19.1,18.7,18.1
6/01/2011,3:00,19.7,18.5,18.1
6/01/2011,4:00,18.5,18.2,18.1
6/01/2011,5:00,18.4,18.1,17.6
6/01/2011,6:00,19.2,18.4,17.6
6/01/2011,7:00,18.6,18,17.7
6/01/2011,8:00,18.8,18.1,18
6/01/2011,9:00,19,18.6,18.4
6/01/2011,10:00,19.7,19.1,18.7
6/01/2011,11:00,19.5,19,19.2
6/01/2011,12:00,19.5,19.1,19.5
6/01/2011,13:00,20.6,19.3,20
6/01/2011,14:00,22,20.4,24.6
6/01/2011,15:00,21.8,20.9,25.6
6/01/2011,16:00,22.3,20.9,27.7
6/01/2011,17:00,21.7,20.8,25.6
6/01/2011,18:00,20.9,19.9,21.1
6/01/2011,19:00,20.5,19.9,20.4
6/01/2011,20:00,20.5,19.1,18.9
6/01/2011,21:00,19.3,19.1,18.9
6/01/2011,22:00,19.7,19.2,18.6
6/01/2011,23:00,19.6,19.3,18.2
7/01/2011,0:00,19.7,19.2,17.8
7/01/2011,1:00,19.2,18.7,17.6
7/01/2011,2:00,18.8,18.4,16.5
7/01/2011,3:00,18.4,18.1,15.9
7/01/2011,4:00,18.1,17.5,15
7/01/2011,5:00,17.6,15.5,13
7/01/2011,6:00,16.7,15.4,13.1
7/01/2011,7:00,18.3,16,14.7
7/01/2011,8:00,20.2,18.2,24.2
7/01/2011,9:00,21.8,20.1,31
7/01/2011,10:00,24.1,21.6,36
7/01/2011,11:00,24.4,23.2,43
7/01/2011,12:00,23.6,22.7,45.2
7/01/2011,13:00,23.6,22.5,45.1
7/01/2011,14:00,26.1,23.5,37.9
7/01/2011,15:00,26.2,25.9,37.1
7/01/2011,16:00,26.4,25.4,32.7
