Date_NZST,Time_NZST,Radiation_Amount_MJ/m2
1/01/2011,0:00,0
1/01/2011,1:00,0
1/01/2011,2:00,0
1/01/2011,3:00,0
1/01/2011,4:00,0
1/01/2011,5:00,0
1/01/2011,6:00,0.05
1/01/2011,7:00,0.3
1/01/2011,8:00,0.38
1/01/2011,9:00,0.67
1/01/2011,10:00,1.92
1/01/2011,11:00,2.11
1/01/2011,12:00,1.32
1/01/2011,13:00,2.77
1/01/2011,14:00,3.63
1/01/2011,15:00,3.22
1/01/2011,16:00,2.71
1/01/2011,17:00,2.2
1/01/2011,18:00,1.52
1/01/2011,19:00,0.79
1/01/2011,20:00,0.17
1/01/2011,21:00,0
1/01/2011,22:00,0
1/01/2011,23:00,0
2/01/2011,0:00,0
2/01/2011,1:00,0
2/01/2011,2:00,0
2/01/2011,3:00,0
2/01/2011,4:00,0
2/01/2011,5:00,0
2/01/2011,6:00,0.03
2/01/2011,7:00,0.39
2/01/2011,8:00,1.38
2/01/2011,9:00,1.33
2/01/2011,10:00,1.91
2/01/2011,11:00,3.24
2/01/2011,12:00,3.4
2/01/2011,13:00,2.51
2/01/2011,14:00,1.9
2/01/2011,15:00,0.71
2/01/2011,16:00,0.87
2/01/2011,17:00,0.71
2/01/2011,18:00,0.23
2/01/2011,19:00,0.17
2/01/2011,20:00,0
2/01/2011,21:00,0
2/01/2011,22:00,0
2/01/2011,23:00,0
3/01/2011,0:00,0
3/01/2011,1:00,0
3/01/2011,2:00,0
3/01/2011,3:00,0
3/01/2011,4:00,0
3/01/2011,5:00,0
3/01/2011,6:00,0.03
3/01/2011,7:00,0.32
3/01/2011,8:00,1.06
3/01/2011,9:00,2.22
3/01/2011,10:00,2.75
3/01/2011,11:00,2.74
3/01/2011,12:00,2.66
3/01/2011,13:00,2.49
3/01/2011,14:00,2.61
3/01/2011,15:00,3.04
3/01/2011,16:00,2.45
3/01/2011,17:00,1.24
3/01/2011,18:00,1.03
3/01/2011,19:00,0.55
3/01/2011,20:00,0.12
3/01/2011,21:00,0
3/01/2011,22:00,0
3/01/2011,23:00,0
4/01/2011,0:00,0
4/01/2011,1:00,0
4/01/2011,2:00,0
4/01/2011,3:00,0
4/01/2011,4:00,0
4/01/2011,5:00,0
4/01/2011,6:00,0.12
4/01/2011,7:00,0.59
4/01/2011,8:00,1.42
4/01/2011,9:00,1.89
4/01/2011,10:00,2.16
4/01/2011,11:00,2.5
4/01/2011,12:00,2.89
