Date_NZST,Time_NZST,Tair_C,Twet_C,RH_%,Tdew_C
1/01/2011,0:00,16,14.1,80.3,12.6
1/01/2011,1:00,15.3,13.5,80.7,12
1/01/2011,2:00,13.8,12.2,82.1,10.8
1/01/2011,3:00,15.9,13.9,79.2,12.3
1/01/2011,4:00,15.9,13.7,77.3,11.9
1/01/2011,5:00,16.3,13.9,75.6,12
1/01/2011,6:00,16.8,14.3,74.8,12.3
1/01/2011,7:00,17.2,14.3,71.6,12
1/01/2011,8:00,16.8,14.3,74.8,12.3
1/01/2011,9:00,17.9,15,72,12.8
1/01/2011,10:00,18.7,16,74,14
1/01/2011,11:00,19.6,16.6,71.9,14.4
1/01/2011,12:00,19,15.7,68.7,13.1
1/01/2011,13:00,20.9,16.5,61.6,13.3
1/01/2011,14:00,21.8,16.7,57.4,13
1/01/2011,15:00,21.9,16.8,57,13
1/01/2011,16:00,21.6,16.1,53.6,11.8
1/01/2011,17:00,21.2,15.9,54.6,11.7
1/01/2011,18:00,19.1,16.1,71.5,13.8
1/01/2011,19:00,17.7,15.3,76.4,13.5
1/01/2011,20:00,16.9,14.8,78.4,13.1
1/01/2011,21:00,15.6,14.1,83.5,12.8
1/01/2011,22:00,15.7,14.4,85.7,13.3
1/01/2011,23:00,15.3,13.9,84.5,12.7
2/01/2011,0:00,15.6,13.9,82.3,12.6
2/01/2011,1:00,15,13.7,85.2,12.6
2/01/2011,2:00,15.4,14,85.2,12.9
2/01/2011,3:00,16,14.2,80.8,12.7
2/01/2011,4:00,15.8,14.1,82.2,12.8
2/01/2011,5:00,16.1,14.3,80.8,12.8
2/01/2011,6:00,16.5,14.6,80.4,13.1
2/01/2011,7:00,17.1,15,78.7,13.4
2/01/2011,8:00,17.9,15.2,74,13.2
2/01/2011,9:00,17.9,15.4,75.3,13.5
2/01/2011,10:00,18.6,15.7,72.2,13.5
2/01/2011,11:00,19.2,16.2,72,14.1
2/01/2011,12:00,19.5,16.7,73.7,14.7
2/01/2011,13:00,19.1,16.6,76.2,14.8
2/01/2011,14:00,18.9,16.4,76.3,14.7
2/01/2011,15:00,18.4,16.2,78.6,14.6
2/01/2011,16:00,19,16.7,78.1,15.1
2/01/2011,17:00,18.6,16.5,80.1,15.1
2/01/2011,18:00,18.6,16.9,83.8,15.8
2/01/2011,19:00,18.4,16.9,84.8,15.8
2/01/2011,20:00,18.4,16.9,84.9,15.8
2/01/2011,21:00,18.2,16.9,86.9,16
2/01/2011,22:00,18.2,17,87.6,16.1
2/01/2011,23:00,18,16.8,88.2,16
3/01/2011,0:00,18,16.8,87.6,15.9
3/01/2011,1:00,18,16.9,89.3,16.2
3/01/2011,2:00,17.9,16.9,89.8,16.2
3/01/2011,3:00,18,16.8,88.1,16
3/01/2011,4:00,17.8,16.4,85.7,15.4
3/01/2011,5:00,17.8,16.3,84.6,15.2
3/01/2011,6:00,17.9,16.7,88,15.9
3/01/2011,7:00,18.5,17,84.8,15.9
3/01/2011,8:00,19,17.2,82.8,16
3/01/2011,9:00,18.9,17,81.6,15.7
3/01/2011,10:00,19.6,17.3,78.3,15.7
3/01/2011,11:00,20.1,17.9,79.8,16.5
3/01/2011,12:00,19.3,17.2,80.2,15.8
3/01/2011,13:00,19.5,17.3,79.3,15.8
3/01/2011,14:00,20.5,17.9,76.4,16.2
3/01/2011,15:00,20.8,17.3,69.1,14.9
3/01/2011,16:00,20.2,16.7,68,14.1
3/01/2011,17:00,20.2,16.8,69.3,14.4
3/01/2011,18:00,19.8,16.2,67.5,13.6
3/01/2011,19:00,19.2,16,70.3,13.7
3/01/2011,20:00,18,16,80,14.5
3/01/2011,21:00,17.5,15.9,83.6,14.7
