Date_NZST,Time_NZST,WDir_DegT,WSpeed_m/s
1/01/2011,0:00,61,4.1
1/01/2011,1:00,171,2.2
1/01/2011,2:00,174,2
1/01/2011,3:00,154,3.4
1/01/2011,4:00,186,3.2
1/01/2011,5:00,175,1.4
1/01/2011,6:00,225,1.8
1/01/2011,7:00,2,2.9
1/01/2011,8:00,212,3.5
1/01/2011,9:00,204,3.2
1/01/2011,10:00,212,4.8
1/01/2011,11:00,180,4.9
1/01/2011,12:00,193,4.1
1/01/2011,13:00,163,5.2
1/01/2011,14:00,178,5.1
1/01/2011,15:00,160,4.5
1/01/2011,16:00,17,3.4
1/01/2011,17:00,215,4.3
1/01/2011,18:00,248,3.9
1/01/2011,19:00,232,4.5
1/01/2011,20:00,247,2.6
1/01/2011,21:00,240,1.7
1/01/2011,22:00,107,1.5
1/01/2011,23:00,55,1.9
2/01/2011,0:00,15,2.5
2/01/2011,1:00,31,3.4
2/01/2011,2:00,34,3.3
2/01/2011,3:00,349,5.1
2/01/2011,4:00,21,5.3
2/01/2011,5:00,17,6.6
2/01/2011,6:00,10,6.9
2/01/2011,7:00,19,7.4
2/01/2011,8:00,11,7.8
2/01/2011,9:00,16,8
2/01/2011,10:00,21,7.8
2/01/2011,11:00,15,8
2/01/2011,12:00,20,8.3
2/01/2011,13:00,17,7.3
2/01/2011,14:00,33,6.6
2/01/2011,15:00,24,5.8
2/01/2011,16:00,23,5.4
2/01/2011,17:00,31,5
2/01/2011,18:00,29,5.1
2/01/2011,19:00,30,6
2/01/2011,20:00,27,5.8
2/01/2011,21:00,36,6.1
2/01/2011,22:00,34,5.7
2/01/2011,23:00,44,6.2
3/01/2011,0:00,49,6.7
3/01/2011,1:00,26,6.5
3/01/2011,2:00,22,7.1
3/01/2011,3:00,25,7.2
3/01/2011,4:00,39,6.1
3/01/2011,5:00,46,5.7
3/01/2011,6:00,20,5.4
3/01/2011,7:00,21,5.9
3/01/2011,8:00,353,6.4
3/01/2011,9:00,359,7.7
3/01/2011,10:00,26,8.3
3/01/2011,11:00,21,7.3
3/01/2011,12:00,20,7.2
3/01/2011,13:00,14,7.2
3/01/2011,14:00,30,7.2
3/01/2011,15:00,23,6.9
3/01/2011,16:00,27,7.2
3/01/2011,17:00,4,6.4
3/01/2011,18:00,6,6.2
3/01/2011,19:00,25,4.4
3/01/2011,20:00,7,3.3
3/01/2011,21:00,353,2.4
3/01/2011,22:00,38,2.5
3/01/2011,23:00,53,2.5
4/01/2011,0:00,66,2.8
4/01/2011,1:00,55,2.9
4/01/2011,2:00,46,3.1
4/01/2011,3:00,50,3.3
4/01/2011,4:00,55,3.1
4/01/2011,5:00,65,2.9
4/01/2011,6:00,58,3.3
4/01/2011,7:00,33,4.1
4/01/2011,8:00,24,5.3
4/01/2011,9:00,21,5.4
